video_id,title,description,politics_title,politics_title_desc,politics_final_manual
ELkfi5GzNkM,S-Bahn Unglück – erste Reaktionen und Ermittlungen nach dem tödlichen Unfall in Schäftlarn,"An Tag zwei nach dem schrecklichen S-Bahn-Unglück in Schäftlarn gingen die Ermittlungs- und Aufräumarbeiten heute weiter.

Die Bergung der beiden zertrümmerten S-Bahnen kann aber voraussichtlich erst morgen beginnen.

Die Strecke zwischen Höllriegelskreuth und Wolfratshausen bleibt bis auf Weiteres gesperrt. Die S7 fährt nur bis Höllriegelskreuth und wendet dort.

Über die Situation und die Stimmung vor Ort berichten Aurora Berisha und Rudolf Lachner.

Jetzt abonnieren: http://bit.ly/AboMuenchenTV

Instagram: https://www.instagram.com/muenchen.tv

Facebook: https://www.facebook.com/muenchentv

Homepage: http://www.muenchen.tv",0,,0.0
g4vGKTLM_Bg,VWs Anti-China-E-Auto und die Erfolgs-Tochter einer Volksaktie | WELT Podcast,"VWs Anti-China-E-Auto und die Erfolgs-Tochter einer Volksaktie - Der Börsenpodcast

In der heutigen Folge von “Alles auf Aktien” sprechen die Finanzjournalisten Laurin Meyer und Philipp Vetter über modebewusste Manager bei Abercrombie&Fitch, den Absturz der Airline-Aktien und Enttäuschung bei Salesforce. Außerdem geht es um Siemens Energy, Douglas, Adidas, Bitcoin, Dick’s Sporting Goods, ConocoPhillips, Marathon Oil, American Airlines, Southwest, Spirit, Lufthansa, SAP, Porsche SE, Porsche AG, Mercedes Benz, BMW, Stellantis, BYD, Nio, CATL, FAW, SAIC, Geely, Krispy Kreme, T-Mobile US, Deutsche Telekom, AT&T, Verizon und Softbank. Eure Sprachnachrichten für die 1000. Folge schickt ihr bitte an die Nummer: 0170/375 3558.

Wir freuen uns an Feedback über aaa@welt.de.

Ab sofort gibt es noch mehr ""Alles auf Aktien"" bei WELTplus und Apple Podcasts – inklusive aller Artikel der Hosts und AAA-Newsletter. Hier bei WELT. (https://www.welt.de/podcasts/alles-auf-aktien/plus247399208/Boersen-Podcast-AAA-Bonus-Folgen-Jede-Woche-noch-mehr-Antworten-auf-Eure-Boersen-Fragen.html.) 

Disclaimer: Die im Podcast besprochenen Aktien und Fonds stellen keine spezifischen Kauf- oder Anlage-Empfehlungen dar. Die Moderatoren und der Verlag haften nicht für etwaige Verluste, die aufgrund der Umsetzung der Gedanken oder Ideen entstehen.

Hörtipps: Für alle, die noch mehr wissen wollen: Holger Zschäpitz können Sie jede Woche im Finanz- und Wirtschaftspodcast ""Deffner&Zschäpitz"" hören. 

Außerdem bei WELT:  Im werktäglichen Podcast „Das bringt der Tag“ geben wir Ihnen im Gespräch mit WELT-Experten die wichtigsten Hintergrundinformationen zu einem politischen Top-Thema des Tages. 

Du möchtest mehr über unsere Werbepartner erfahren? Hier findest du alle Infos & Rabatte! (https://linktr.ee/alles_auf_aktien) 

Impressum: https://www.welt.de/services/article7893735/Impressum.html
Datenschutz: https://www.welt.de/services/article157550705/Datenschutzerklaerung-WELT-DIGITAL.html",-1,1.0,1.0
iiQQHc62ZLI,#9 Interview mit Bundeskanzler Karl Nehammer,"Superwahljahr – der Podcast. Ida Metzger und Rainer Nowak von der Kronenzeitung begleiten dich durch ein politisch entscheidendes Jahr. Sie kommentieren die Situation und sprechen mit politischen Persönlichkeiten.


Unsere allgemeinen Datenschutzrichtlinien finden Sie unter https://art19.com/privacy. Die Datenschutzrichtlinien für Kalifornien sind unter https://art19.com/privacy#do-not-sell-my-info abrufbar.",1,,1.0
3i1xgC8JNCY,Einsatzleiter Muxel zum Brand in Au,"Aktuelle Nachrichten aus Vorarlberg findest du unter www.vol.at oder über unsere Apps auf Android und iOs.

#vorarlberg #aktuell

🔴  Abonniert jetzt unseren Kanal und aktiviert die Glocke unter http://bit.ly/3efAHYA

📲  Folg uns
auf Facebook https://www.facebook.com/vorarlbergonline 
auf Instagram https://www.instagram.com/vorarlbergonline 
auf LinkedIn www.linkedin.com/showcase/vorarlbergonline

oder hör unsere Podcasts auf Spotify, Apple Music, Amazon Music, Google Podcast und Deezer

Impressum: https://www.vol.at/features/vol-impressum 

#VOLAT​ #Nachrichten​ #News #vorarlberglive",0,,0.0
hAetXq3-VBU,POLIZIST ZERLEGT SIE! 🚨 AFD gibt LETZTE WARNUNG AN DIE REGIERUNG AB! I Das geht auf Telegram viral!,"POLIZIST ZERLEGT SIE! 🚨 AFD gibt LETZTE WARNUNG AN DIE REGIERUNG AB! I Das geht auf Telegram viral! Perfekt vorbereitet auf den Notfall: https://www.checkout-ds24.com/product/537522 (Patientenverfügung, Vorsorgevollmacht, Notfallpass, Blackout Checkliste, Vollmacht für Finanzangelegenheiten, Testament, ...) (Werbung)
BLITZMELDUNG! Dieses Video geht viral! Das hat gedonnert! Ganz Youtube feiert dieses Video! Nur kurz Verfügbar! Dieses Video wird nach 300.000 Klicks gelöscht Nachrichten aktuell: AFD Wahlrekord! Habeck Rücktritt & Baerbock Rücktritt nur noch Frage der Zeit! Die Ampel zerbricht genau jetzt! Energiekrise, Außenpolitik & Scholz Cum Ex entlarvt! Aktuellste News & Eilmeldung über Alice Weidel, Tino Chrupalla, AMPEL Politik & Mehr! UNFASSBARE ENTWICKLUNGEN! #viral #wirtschaft #eilmeldung

HIER ZUM ZWEITKANAL:  https://www.youtube.com/channel/UCouZW6lGRZ6MaUk9w_ACztQ 
(Heute wurden bereits 3 Blitzmeldung, die du kennen solltest, hochgeladen)
------------

FINANZMANAGEMENT

💰 KOSTENLOS SACHWERTE KAUFEN ➔ https://bit.ly/3UgMPeB

💸 20 € PRÄMIE AUF DEN 1. ETF-SPARPLAN ➔ https://bit.ly/2SYvcSK

💵 KOSTENLOSES GIROKONTO MIT HOHEN ZINSEN ➔ https://bit.ly/3BRAq9x

------------

Wichtige Schlagwörter

#wirtschaft #finanzen #community #geldanlage #demokonto #demodepot #demobroker #forexbroker #forexhandel #wirtschaftaktuell #wirtschaft #wirtschaftsnachrichten #finanzstrategie #prognosen #nachrichten #vermögenssicherung #bitcoin #geld #wirtschaftaktuell #geldanlage #news #gold #goldkaufen #aktienkaufen #aktien #krise #wirtschaftskrise #blackout #markuskrall #dirkmüller #cashkurs #waskommt #finanzen #finanzcommunity #richtiginvestieren #etoro #etorotrading #etoroerfahrung #bitcoin #bitcoinkaufen #kryptowährungen #kryptowährung #bitcoins #trading #bitcointrading #wirtschaftsnews #bitcoinkaufen #aktienkaufen #welcheaktienkaufen #geldanlage #negativzinsen #krypto #kryptos #geldanlegen #finanzwelt #money

---------------------------

Allgemeiner Hinweis

In der Infobox können Affiliate Links verwendet werden. Falls der Besucher über diese Links einen Kauf tätigt, kann eine Provision für den Videoproduzent als Unterstützung des Kanals. Es erfolgt keine Anlageberatung. Jeder ist für seine Strategien selbst verantwortlich. Es ist ein Totalverlust möglich. Es kann keine Garantie für die Richtigkeit und Vollständigkeit der Inhalte gewährt werden.",1,,1.0
ySAQyDUuXRM,Correctiv: Die Meister der Falschinformation schlagen wieder zu!,"Das linksextreme Lügen-Netzwerk Correctiv, ich muss es so unnett sagen, versprüht sein Lügen-Gift abermals besonders großdüsig, so heißt es in einem Beitrag von Correctiv vom 7. Mai 2025 nach der VS-Einstufung:

""Auf die Hochstufung der AfD durch den Verfassungsschutz als „gesichert rechtsextrem“ reagierte er (damit bin ich, also Beckamp, gemeint) nun prompt bei Instagram mit einer entsprechenden Verschwörungsphantasie: Ein „Bevölkerungsaustausch“, das würde ja tatsächliche Zustände beschreiben. Als „Bevölkerungsaustausch“ wird das rassistische Trugbild bezeichnet, dass gezielt weiße Menschen genetisch durchmischt würden und damit eine Rassenreinheit gestört werde. Diese Verschwörungserzählung hat keinerlei wissenschaftliche Basis und dient dem Schüren von Angst und Gewalt.""

Hier zeigt sich abermals die Lügen-Technik des linksextremen Lügennetzwerks Correctiv, die erstaunlicherweise oder auch nicht erstaunlicherweise von anderen Medien oft einfach übernommen wird. Jemand sagt etwas, nennt einen Begriff und das linksextreme Lügennetzwerk Correctiv unterstellt dann eine Bedeutung bzw. Konsequenzen aus diesem Begriff und der Bedeutung.

Ich habe folgendes am 2. Mai 2025 auf Intagram gesagt: ""Welche Begriffe sind angeblich so problematisch, die tatsächliche Zustände beschreiben, wenn es darum geht von einem Bevölkerungsaustausch zu sprechen. Nämlich wenn die hiesige Bevölkerung, die Einheimischen, immer weniger werden und andere aktiv hier hin gebracht werden, nämlich Umsiedlungsprogramme, mit denen aktiv Menschen aus aller Welt nach Deutschland gebracht werden.""

Ich spreche also implizit von der Demografie, nämlich hohen Sterberaten sowie geringen Geburten der Einheimischen, und der aktiven Umsiedlung nach Deutschland als ""Bevölkerungsaustauch"". Correctiv macht daraus eine ""genetischen Durchmischung"" und ""Rassenreinheit"", die ich weder anspreche, noch fordere und die auch abwegig wäre.

So geht plumpe Lügen-Propaganda, staatlich gefördert und oftmals von öffentlich-rechtlichen Medien weitergespielt. Und dann wird als Konsequenz der Lügen auch noch ""Gewalt"" unterstellt.

Man muss Lügen als solche erkennen und benennen. Das linksextreme Lügen-Netzwerk Correctiv ist nur eine vulgäre Lügen-Maschine, andere machen es verdeckter, das ist die Herausforderung.

Schöne Woche!",-1,1.0,1.0
6754C5Wl8qg,Klima Update: Global Carbon Budget Teil 1 | 28.12.2023,"https://www.rtl.de/cms/sendungen/news/klima-update/?utm_source=youtube&utm_medium=editorial&utm_campaign=beschreibung&utm_term=rtlnews
https://plus.rtl.de/video-tv/shows/rtl-aktuell-177221?utm_source=youtube&utm_medium=editorial&utm_campaign=beschreibung&utm_term=rtlnews
https://www.wetter.de/cms/klima.html?utm_source=youtube&utm_medium=editorial&utm_campaign=beschreibung&utm_term=rtlnews

Kanal abonnieren! 👉 Kanal abonnieren! 👉 https://www.youtube.com/@rtl_news?sub_confirmation=1

Habt ihr noch mehr Bock auf Content, dann holt euch jetzt RTL+ Premium, Max oder Family: 
https://my.plus.rtl.de/buchen/initial?utm_source=youtube&utm_medium=editorial&utm_campaign=beschreibung&utm_term=rtl

RTL bei Instagram: https://www.instagram.com/rtl_de/
RTL bei TikTok: https://www.tiktok.com/@rtl_com
RTL bei Facebook: https://www.facebook.com/RTLcom
RTL bei Twitter: https://twitter.com/RTL_com

RTL.de im App Store: https://apps.apple.com/de/app/rtl-de-news-stories-videos/id499301368
RTL.de bei Google Play: https://play.google.com/store/apps/details?id=de.rtl.video&gl=DE

RTL+ im App Store: https://apps.apple.com/de/app/tv-now/id1057991212 
RTL+ bei Google Play: https://play.google.com/store/apps/details?id=de.rtli.tvnow 
RTL+ bei Amazon: https://www.amazon.de/RTL-interactive-GmbH-NOW-PLUS/dp/B01MTVGZE1

#KlimaUpdate #RTL #RTLPlus",1,,1.0
z7xWyWRadXA,Epstein-Skandal bringt Trump in Bedrängnis,"Wir sprechen über die Causa Jeffrey Epstein und wie sie US-Präsident Donald Trump unter Druck setzt


US-Präsident Donald Trump hat derzeit ausgerechnet mit seinen eigenen Fans Probleme. Sie fordern lautstark die Veröffentlichung der sogenannten Epstein-Liste. Trumps Umfeld, das Verschwörungserzählungen rund um eine angebliche Kundenliste von Epstein immer wieder selbst befeuert hat, blockt ab. Die genauen Abläufe der Causa Epstein und wieso Trump aktuell so unter Druck steht, erklärt Bianca Blei, Redakteurin im Außenpolitik-Ressort beim STANDARD.
Hat Ihnen dieser Podcast gefallen? Mit einem STANDARD-Abonnement können Sie unsere Arbeit unterstützen und mithelfen, Journalismus mit Haltung auch in Zukunft sicherzustellen. Alle Infos und Angebote gibt es hier: abo.derstandard.at (https://abo.derstandard.at/?ref=Podcast&utm_source=derstandard&utm_medium=podcast&utm_campaign=podcast&utm_content=podcast)",1,,1.0
H_SlltnNbmI,Mutmaßliche FBI-Razzia gegen Donald Trump,"Laut Angaben des ehemaligen US-Präsidenten habe eine „große Gruppe von FBI-Agenten“ sein Anwesen in Florida unangekündigt durchsucht. Weder Donald Trump noch das US-Justizministerium äußerten sich bislang zu den Hintergründen der Razzia.


Die New York Times berichtet, dass geheime Dokumente das Ziel des FBI-Einsatzes in der Villa in Mar-a-Lago gewesen sein könnten. Mehr dazu lesen Sie hier: https://www.handelsblatt.com/politik/international/mar-a-lago-fbi-durchsucht-trumps-privatanwesen-in-florida-und-verschafft-sich-zugang-zum-safe/28584376.html",1,,1.0
a2xFf0u0QQE,Altkanzler Schröder Klage gegen Bundestag gescheitert,"🔔 Kanal abonnieren: https://oli.net/abo
👍 Mit einer Spende unterstützen: https://oli.net/spenden
🤝 Jetzt Kanalmitglied werden: https://oli.net/kanalmitglied


📰 Quellen
- https://bit.ly/3pfInSk

💬 Hashtags
#Altkanzler #Schröder #Klage



** Affiliate Links
Bei den Produktlinks handelt es sich um Affiliate-Links. Die Links dienen der Orientierung und dem schnelleren finden der Produkte. Des Weiteren wird beim Verkauf des Produkts eine Provision an mich ausgezahlt, für euch entstehen dadurch keine Mehrkosten.",1,,1.0
