run_id,job_id,status,prompt_id,prompt_number,prompt_version,model,thinking_budget,dataset_id,dataset_version,target_variable,validation_basis,created_at,updated_at,results_path,notes
run_0001,projects/921222602739/locations/us-central1/batchPredictionJobs/5562984724319698944,downloaded,IDEOLOGIE_I,seg,v1,gemini-2.5-flash,0,baseline_test_segments,v1,ideology_baseline,segment_schema,2026-08-25T14:04:32,2026-08-25T14:07:40,C:\Users\bened\PycharmProjects\youtube_data\outputs\segment_analysis\run_0001_IDEOLOGIE_I.csv,segments|replicates=1|temperature=0.0|n_segments=9|n_requests=9|prompt_sha1=c2335fcf1503
run_0002,projects/921222602739/locations/us-central1/batchPredictionJobs/8037079400862187520,downloaded,IDEOLOGIE_I,seg,v2,gemini-2.5-flash,0,baseline_test_segments,v1,ideology_baseline,segment_schema,2026-08-25T15:04:27,2026-08-25T15:10:40,C:\Users\bened\PycharmProjects\youtube_data\outputs\segment_analysis\run_0002_IDEOLOGIE_I.csv,segments|replicates=1|temperature=0.0|n_segments=9|n_requests=9|prompt_sha1=67ca31425057
run_0003,projects/921222602739/locations/us-central1/batchPredictionJobs/7302429711647375360,downloaded,IDEOLOGIE_I,seg,v2,gemini-2.5-flash,0,single_channels_test_segments,v1,ideology_baseline,segment_schema,2026-08-25T15:25:02,2026-08-25T15:30:21,C:\Users\bened\PycharmProjects\youtube_data\outputs\segment_analysis\run_0003_IDEOLOGIE_I.csv,segments|replicates=1|temperature=0.0|n_segments=30|n_requests=30|prompt_sha1=67ca31425057
run_0004,projects/921222602739/locations/us-central1/batchPredictionJobs/2505955371009441792,downloaded,IDEOLOGIE_I,seg,v3,gemini-2.5-flash,0,single_channels_test_segments,v1,ideology_baseline,segment_schema,2026-08-25T16:12:08,2026-08-25T17:53:38,C:\Users\bened\PycharmProjects\youtube_data\outputs\segment_analysis\run_0004_IDEOLOGIE_I.csv,segments|replicates=1|temperature=0.0|n_segments=30|n_requests=30|prompt_sha1=db5d9013e252
run_0005,projects/921222602739/locations/us-central1/batchPredictionJobs/4553685826579464192,downloaded,IDEOLOGIE_I,seg,v3,gemini-2.5-flash,0,single_channels_test_populism_segments,v1,ideology_baseline,segment_schema,2026-08-25T16:24:00,2026-08-25T17:53:39,C:\Users\bened\PycharmProjects\youtube_data\outputs\segment_analysis\run_0005_IDEOLOGIE_I.csv,segments|replicates=1|temperature=0.0|n_segments=30|n_requests=30|prompt_sha1=db5d9013e252
run_0006,projects/921222602739/locations/us-central1/batchPredictionJobs/3657073676546736128,downloaded,POPULISMUS_P,seg,v3,gemini-2.5-flash,0,single_channels_test_populism_segments,v1,populism_segment,segment_schema,2026-08-25T17:58:06,2026-08-25T18:21:33,C:\Users\bened\PycharmProjects\youtube_data\outputs\segment_analysis\run_0006_POPULISMUS_P.csv,segments|replicates=1|temperature=0.0|n_segments=40|n_requests=40|prompt_sha1=65a09a53a597
run_0007,projects/921222602739/locations/us-central1/batchPredictionJobs/3947485483767955456,downloaded,POPULISMUS_P,seg,v3,gemini-2.5-flash,1024,single_channels_test_populism_segments,v1,populism_segment,segment_schema,2026-08-25T18:52:54,2026-08-25T18:59:58,C:\Users\bened\PycharmProjects\youtube_data\outputs\segment_analysis\run_0007_POPULISMUS_P.csv,segments|replicates=1|temperature=0.0|n_segments=40|n_requests=40|prompt_sha1=65a09a53a597
run_0008,projects/921222602739/locations/us-central1/batchPredictionJobs/1711237162545971200,downloaded,POPULISMUS_P,seg,v4,gemini-2.5-flash,0,single_channels_test_populism_segments,v1,populism_segment,segment_schema,2026-08-25T18:53:31,2026-08-25T18:59:59,C:\Users\bened\PycharmProjects\youtube_data\outputs\segment_analysis\run_0008_POPULISMUS_P.csv,segments|replicates=1|temperature=0.0|n_segments=40|n_requests=40|prompt_sha1=1aac52e5e533
run_0009,projects/921222602739/locations/us-central1/batchPredictionJobs/5132459951347728384,downloaded,POPULISMUS_P,seg,v5,gemini-2.5-flash,0,single_channels_test_populism_segments,v1,populism_segment,segment_schema,2026-08-25T21:55:28,2026-08-25T22:13:57,C:\Users\bened\PycharmProjects\youtube_data\outputs\segment_analysis\run_0009_POPULISMUS_P.csv,segments|replicates=1|temperature=0.0|n_segments=40|n_requests=40|prompt_sha1=48f81e6703ab
run_0010,projects/921222602739/locations/us-central1/batchPredictionJobs/5652907183285731328,downloaded,POPULISMUS_P,seg,v4,gemini-2.5-flash,0,descriptive_sample_war_segments,v1,populism_segment,segment_schema,2026-08-25T22:28:35,2026-08-26T10:04:14,C:\Users\bened\PycharmProjects\youtube_data\outputs\segment_analysis\run_0010_POPULISMUS_P.csv,segments|replicates=1|temperature=0.0|n_segments=32516|n_requests=32516|prompt_sha1=1aac52e5e533
