video_id,video_type,ideology_score,populism_score
MjOCJgJTEfY,Standard,9.0,9.5
YM-ztHSH1QU,Standard,-1.0,4.0
elPz-cdNBBo,Standard,-1.0,-1.0
aKzbBX3WHZM,Standard,5.0,0.0
jnpy0ECFAaA,Reaction,7.5,9.0
uCJu8Hxpr5I,Standard,7.5,8.5
ULfotONdTrE,Standard,5.0,2.0
CE_EvbG_5Yg,Standard,5.0,0.0
_D3G8z8v1-o,Standard,6.5,0.0
0-9HeWHyCVU,Reaction,8.5,9.0
mqSHru1MUpQ,Standard,5.0,0.0
igJHtsVOAiQ,Standard,7.5,8.5
ewYs0lP5TkQ,Standard,5.0,0.0
RPLNJCPzgWc,Standard,5.0,0.0
4JIiSiMru-I,Standard,5.0,0.0
QB7IHHzRR8I,Standard,5.0,0.0
Z58QtOCL5dg,Standard,4.0,8.5
bKHdxUQZgZA,Standard,6.0,0.0
NhG8g3d1_HU,Standard,5.0,0.0
HSWi6-XDxrY,Standard,5.0,0.0
uLghF7urr_E,Standard,5.0,0.0
-CIBLo7dVr4,Standard,-1.0,-1.0
dClDuMYfziw,Standard,7.5,0.0
w-PWNscrhzg,Standard,-1.0,3.0
aLeX7ef6SXo,Standard,-1.0,-1.0
bFeMhpb8dA0,Standard,-1.0,-1.0
LLjJ7IcruoI,Standard,5.0,4.0
em344kPQxdU,Standard,5.0,0.0
lqoEK4QI-NU,Standard,5.0,0.0
JCIFD45cbIY,Reaction,7.5,8.5
5rEAi5BeK7k,Standard,7.5,3.5
Ulp6IFNbF5Q,Standard,5.0,0.0
vUPbXMrm0aM,Standard,2.5,6.5
IxW_39yO_Ms,Standard,-1.0,-1.0
aycJiZgMGDs,Standard,2.5,7.5
p3kEWeKjkzs,Standard,-1.0,-1.0
cDrtQ4Y8VWk,Standard,5.0,0.0
u162fimnGbU,Reaction,7.5,7.5
xNiBztLfjms,Standard,7.5,8.5
utVaM5W24lc,Standard,-1.0,-1.0
l4Hhcywd5ow,Standard,-1.0,-1.0
hs5i6ewoUfU,Standard,-1.0,-1.0
sOPz7SPDcnc,Standard,-1.0,-1.0
vhfsF6Bo3VM,Standard,8.5,9.0
datQ8Xi-yjg,Standard,5.0,0.0
X3wq7xAd3Pk,Reaction,-1.0,6.5
z79qg_YTd2M,Standard,5.0,0.0
tXi6Ad--c-M,Standard,5.0,0.0
eVVUCdTOKQ0,Standard,-1.0,-1.0
LaFEOZszcn0,Standard,6.5,0.0
JnjnytkB8jM,Standard,-1.0,-1.0
BpZZe-sk_zI,Reaction,-1.0,0.0
1FTQwFurM3I,Standard,7.0,8.0
2DEoOaxVRZ0,Standard,5.0,0.0
6pk3UE_Ttms,Reaction,3.5,0.0
sz5hg7hwI6c,Standard,5.0,0.0
d5hPQj19xio,Standard,-1.0,-1.0
22BA8U9y--E,Standard,7.5,10.0
6kUvffOx0yM,Standard,5.0,0.0
J1Od_Zi2Vlk,Standard,-1.0,-1.0
szfHndI4_Ps,Standard,-1.0,-1.0
rZ-ykednksM,Standard,7.0,8.5
fEDqj8Y1QTA,Standard,7.5,8.5
px5TgUZ8m-Y,Standard,-1.0,-1.0
QPK4EA03Fnw,Standard,-1.0,-1.0
fYXlzbqGXrc,Standard,5.0,0.0
8c8JGgLxg_A,Standard,-1.0,-1.0
MY5N8OOf-WU,Standard,-1.0,-1.0
n_llwH53tns,Standard,7.5,1.5
KCXlvqlspbk,Standard,6.5,5.5
bqdhL9Az-4s,Standard,-1.0,-1.0
gtmuJtEkzX0,Reaction,-1.0,-1.0
mFC7uHpfI5U,Standard,8.5,7.5
D59tHB6zHKY,Standard,5.0,0.0
uSpsZ7hkrEo,Standard,4.0,8.0
gSQXw1tm5gc,Standard,-1.0,-1.0
3ZoXqcx3Rc8,Standard,7.5,8.5
6P01Ya3mYeM,Standard,-1.0,-1.0
hlRq5U3Ga90,Reaction,-1.0,-1.0
iLdTM2KROlM,Standard,7.5,8.5
vl8YrLvloag,Standard,5.0,0.0
QIFXLfegzkI,Standard,5.0,0.0
bUGia5wcv88,Standard,-1.0,-1.0
6DRtfp8tYUw,Standard,5.0,0.0
4skjlfLvidQ,Reaction,7.5,8.0
fjWpNIY9hnI,Standard,-1.0,-1.0
h1G2VbhudLA,Standard,-1.0,-1.0
QXyRarB1wDg,Standard,8.5,9.0
qigJUc3Qr6E,Standard,3.5,0.0
3uat5sPo0mE,Standard,-1.0,-1.0
eTCtXnF5TjI,Standard,5.0,7.5
9aVq4NpDhuQ,Standard,8.5,9.5
UTnuus99IHk,Standard,-1.0,-1.0
x0rMjwSRnk0,Standard,6.5,0.0
J4_b-QujhxI,Standard,7.0,8.0
FX_VdDQo9y0,Standard,5.0,0.0
KcbH262ZlG4,Standard,5.0,0.0
z4DRxghhMl0,Standard,5.0,0.0
88B9OsxgbMY,Standard,7.0,8.0
sMmSpm978f0,Standard,5.5,1.0
RzXRL2fZoLY,Standard,-1.0,-1.0
qf8KYkhWIyU,Standard,8.5,9.0
Jf_WrGaPbtE,Standard,3.0,0.0
JXdZSxHUsOI,Standard,5.0,0.0
ee7T5s5NUq8,Standard,7.0,8.5
DS72x7e80WM,Standard,8.5,7.5
U9CNcPvweAM,Standard,6.0,9.0
Qa7uXCz61yM,Reaction,7.5,8.5
YQU-qvz6PmM,Standard,5.0,0.0
WdgaA1y44qk,Standard,-1.0,-1.0
t-Tg28Pm1jA,Standard,-1.0,-1.0
5Rn6Hx-cjwo,Standard,-1.0,0.0
ExdJy21ss-Y,Standard,5.0,9.0
EMEKB8RlhpI,Standard,6.0,0.0
VKQZD3DQu0g,Reaction,7.5,8.5
r_XxoTFtJFY,Standard,-1.0,-1.0
Im1lOviZ1dk,Standard,5.0,0.0
mCMV17IU-BQ,Standard,3.5,0.0
qh0misb7WEs,Standard,7.5,7.0
-gl4RtDD8iY,Standard,5.0,0.0
CM5xUTH1_hg,Standard,-1.0,-1.0
DwkP97ifYdE,Standard,5.0,0.0
Z-EGsD5V8PM,Standard,-1.0,-1.0
zIanT4JkeP0,Standard,7.5,8.5
CQ_FZY7oKzQ,Standard,7.5,8.5
yI5ZB9W1-fw,Standard,8.5,9.5
ASOP3Be-sZI,Reaction,7.5,8.0
-857YWF90fU,Standard,6.5,5.5
kUjbk2cSF58,Standard,7.0,7.5
QDGEGYo4s_Q,Reaction,4.5,7.5
arfimEl4Kmk,Standard,7.0,7.5
T8EAgpNC0D4,Standard,5.0,7.5
NAPyCntKTKU,Standard,5.0,0.0
JNtl1zpvcbg,Standard,7.0,7.5
Ct-9X_0g45o,Standard,5.0,0.0
7bSiFWXeu5k,Standard,7.5,7.5
fTuiIwjXQJU,Standard,-1.0,-1.0
oQNEVp64T8k,Standard,9.5,9.5
tcA-GCLA4dQ,Standard,-1.0,-1.0
BTaZEBG8psg,Standard,8.5,8.5
zKIJrCDGN9M,Standard,7.5,7.5
Wh0jXM4tctg,Standard,-1.0,-1.0
E3sUOJm2XTA,Standard,9.0,9.5
mHFiG5pCIj4,Standard,6.0,4.5
SLytH9G_DLo,Standard,3.5,1.0
5WMyOtM-QIo,Reaction,-1.0,0.0
wkfCefIPkUY,Standard,-1.0,-1.0
V8nV6qKLRM8,Standard,7.0,0.0
NgVplxFvecs,Reaction,-1.0,7.5
FA1Fvx7fUmM,Standard,-1.0,-1.0
RwaQSLxSh28,Standard,7.5,6.5
YMmj7iMr3Iw,Standard,7.5,6.5
U-N_IxY0rYk,Standard,8.5,9.0
ndqr-KO9nPA,Standard,5.0,0.0
dWYgcWgSsnA,Reaction,5.0,7.0
Lpxxn0gCWV8,Standard,8.5,9.5
hB2_X11P_6U,Standard,3.0,7.5
i80xDiaztoY,Reaction,7.5,9.0
gQwiYQ3iOKM,Standard,5.0,0.0
MAKNvB0CIlw,Standard,-1.0,-1.0
_2cdoVPjo4c,Standard,3.5,0.0
I2nbns4NDYI,Standard,2.5,7.5
6ub_6xZ3kR0,Standard,7.5,9.0
fdVmzjXwCmw,Standard,-1.0,-1.0
e9g_yM3KLeA,Standard,6.0,3.0
u-CxidqSIgM,Standard,-1.0,-1.0
vuy5cPZJjIs,Standard,5.0,0.0
sZSipbbQZw4,Standard,3.5,7.5
_yn6y-OI9tA,Standard,9.5,8.5
C1mSwVK8l0E,Standard,7.0,7.5
DTZ9InyC7P8,Standard,3.5,0.0
31y5pQeFjks,Standard,2.5,6.5
xSHNAfWjvXI,Reaction,-1.0,-1.0
4G5WrEYjRgk,Standard,7.5,8.5
ta6QFop2MCA,Standard,4.0,0.0
3BBxQ2AqANs,Reaction,7.5,8.5
_OkEL8FLeQM,Standard,-1.0,-1.0
B-NDOTHmKtM,Standard,-1.0,-1.0
3siWiTckv90,Standard,8.0,9.0
jcOvLdQ505c,Standard,6.5,8.5
ZPXSRWFwgKg,Reaction,7.5,8.5
gJD1XN84ivk,Reaction,8.0,8.5
_u85jr1UOdk,Standard,-1.0,-1.0
BG5vIzgza4E,Standard,-1.0,-1.0
l3MRU6260Yo,Standard,5.0,0.0
9uwGX0BXA-o,Standard,-1.0,-1.0
AcMXaf6hxAg,Standard,5.0,0.0
Ug-3CbB8NUw,Standard,4.5,0.0
NABPzi2i0KE,Standard,-1.0,-1.0
oMSnNrAOn6E,Standard,5.0,0.0
J05j_tqbnS4,Standard,8.5,9.5
3Y1xWCCS3GA,Standard,-1.0,-1.0
TZL0aECQuhs,Standard,5.0,0.0
DWaBW5v215o,Standard,2.5,2.5
W8gpRe2ipUM,Standard,-1.0,-1.0
Ei1FzMv7K6Q,Standard,7.5,7.5
wtEVVOnyNJQ,Standard,-1.0,4.0
1i47h2ra5ZA,Standard,4.5,0.0
xXEQ0p6YHGg,Standard,7.5,9.0
K9GpobOXmYM,Standard,8.5,9.5
GEv6T3SNbtI,Standard,5.0,0.0
hW4dNs7Er5E,Standard,5.0,7.0
lNCxykJZSnc,Standard,7.5,8.5
YHNUcmA4FCo,Standard,8.5,9.0
zbl-wlTXyu4,Standard,7.5,6.5
rHnhUFDxcFE,Standard,-1.0,-1.0
8v9yOFBpTs4,Standard,5.0,0.0
QwtH_AAINgs,Standard,7.5,8.5
pgWTAb4nU_Q,Standard,-1.0,-1.0
enixm8Is0Vo,Standard,-1.0,-1.0
IuwbNAVn4qw,Standard,5.0,0.0
m0_rZDZP06c,Standard,3.5,7.5
6CgGVNJMCj0,Standard,5.0,0.0
wG10UdA_6IM,Standard,2.5,7.5
G97ZJU44vTY,Standard,3.5,0.0
T272tIpS3Gw,Standard,5.0,0.0
OUD-qJDICa4,Standard,8.0,9.0
2AyM8Ng_4Ws,Standard,8.0,9.5
L68Ceia6_As,Standard,5.0,0.0
UZV1DdRcfvg,Standard,7.5,6.5
emwXT2E7FrY,Reaction,8.5,9.0
1-yKiqFSqtE,Standard,-1.0,-1.0
FjgfZH_0FcI,Standard,5.0,0.0
kD8J99zRH38,Standard,5.0,0.0
CMoPdRN-5vs,Reaction,7.5,8.5
