,video_id,video_type,ideology_score,populism_score
0,lau4gI-s7lk,Standard,7.0,8.0
1,fyAMvHN5GbE,Standard,3.5,0.0
2,P0s1dcW3Y_w,Standard,-1.0,8.0
3,DvtnN1cWwow,Standard,-1.0,0.0
4,Rf0s1CjRmCQ,Standard,5.0,0.0
5,T5zttyzcCSw,Standard,3.5,0.0
6,RaslD_1fbMQ,Reaction,-1.0,0.0
7,IOSZ-BAySlg,Standard,2.5,0.0
8,0UYMVkmsY-w,Standard,6.0,6.0
9,1QxEO0wwDf8,Standard,9.0,10.0
10,jiT41HmBrOo,Standard,7.0,6.0
11,R4KZrBgwrSw,Standard,5.0,0.0
12,AazOEZWtmRM,Standard,5.0,0.0
13,lV9taVJkY-A,Standard,7.0,2.0
14,kH-c1bS6jd0,Reaction,7.5,8.0
15,z8_CBJ075aw,Standard,-1.0,0.0
16,JSt-0RLUiTY,Reaction,-1.0,0.0
17,k9uhVx472YE,Standard,-1.0,0.0
18,ONLXgb437R8,Standard,5.0,0.0
19,bjBATL2QN0k,Standard,7.0,7.0
20,2XgG6Iu48l8,Standard,-1.0,0.0
21,ocNK8SwMkWE,Standard,3.5,0.0
22,yjZAEN_Ld84,Reaction,9.0,9.5
23,NyQ67K5Y8-g,Standard,7.0,6.0
24,Bs3s9Mmv8Us,Standard,5.0,0.0
25,oIDShqdh2PY,Reaction,-1.0,0.0
26,7Z9Ue3_Ompo,Standard,7.5,7.5
27,arIySRxV6TI,Standard,5.0,0.0
28,0oyoJMJtFZ4,Standard,-1.0,0.0
29,t-ORrjHdHFk,Standard,-1.0,0.0
30,5tmPs2qh0OY,Standard,5.0,0.0
31,AHTpsP2qW5Y,Reaction,7.5,6.5
32,_MUzCSffMGQ,Reaction,3.5,7.5
33,kMrBmub4-k8,Standard,5.0,0.0
34,qKGpIORUHSA,Standard,8.0,8.0
35,2DoNlGlvgWg,Standard,3.0,7.5
36,lAHnBUieevs,Standard,6.5,6.0
37,3zcDCGuHP4I,Standard,1.5,7.5
38,fEAYI4q4beY,Standard,3.5,0.0
39,vMDVPsBHaZI,Standard,-1.0,6.0
40,8VdEXBdpc4w,Standard,2.0,6.0
41,-eJ10qPUewA,Standard,5.0,0.0
42,RtzO2BAhKYI,Standard,-1.0,0.0
43,uB7Rxoss7do,Standard,-1.0,0.0
44,DafAheT7n0Q,Standard,8.5,7.5
45,VuzdhI_iics,Standard,-1.0,0.0
46,eJ69gpwsNlM,Standard,5.0,0.0
47,SHFav5gDI88,Standard,5.0,0.0
48,6RFXhqmSbjo,Standard,2.0,0.0
49,JPsa1BjEEQQ,Standard,5.0,0.0
50,a-2y7FxvoPo,Standard,7.5,8.5
51,q5BLZS6fW9I,Standard,-1.0,0.0
52,v_PP53DF8kc,Standard,5.0,0.0
53,s_bhrW70EoQ,Reaction,-1.0,0.0
54,iRc3zWRyfWY,Standard,5.0,0.0
55,aic8q21RznE,Standard,-1.0,0.0
56,WIGXmK1w1cU,Standard,5.0,0.0
