video_id,video_type,ideology_score,populism_score,request
LFw_rwKKB9g,Standard,2.5,6.0,
9a669fNOg0w,Standard,7.5,8.5,
TNDMaSAVoas,Standard,5.0,0.0,
Dusjzyg0NnU,Standard,7.0,4.5,
aEvQsPhcS-M,Reaction,7.0,7.5,
Tl4HqxR_coc,Reaction,4.5,9.0,
J7xoqewxpRs,Standard,3.5,5.0,
zRddXEZDdeI,Standard,1.5,4.5,
tZfrgGS7JvI,Standard,5.0,0.0,
4n3HQVohJTQ,Standard,6.0,1.0,
gxi3IiZelLo,Standard,-1.0,-1.0,
thzAqabqq0M,Standard,8.5,7.5,
emNUbHWBfW4,Standard,5.0,0.0,
_OHo_ndE-f4,Standard,5.0,0.0,
0eNTulqiWMs,Standard,-1.0,-1.0,
JKYDp4XV2fY,Standard,3.0,7.5,
B0ww9042X_8,Reaction,8.5,6.5,
dZeqaSP5lz8,Standard,7.5,6.5,
4tEQidI24Pg,Standard,7.5,9.5,
-K_t1P6_8KE,Standard,8.8,8.0,
IFlMHN_5OHI,Standard,9.0,9.5,
aarR5l2mQGQ,Standard,8.5,7.5,
PuT4-pPGMX4,Standard,-1.0,-1.0,
INw97rerRNs,Standard,9.5,8.5,
sY2ujfTJW3Y,Standard,-1.0,-1.0,
feq9thxm5tI,Reaction,-1.0,-1.0,
yxLxGdXTHOY,Standard,2.5,0.0,
8o_iZBqMtkI,Standard,-1.0,-1.0,
BiYeYjq4mYY,Standard,8.0,8.0,
9iRBpoqfMvc,Standard,-1.0,-1.0,
GV3FqJTsPNc,Standard,6.5,8.5,
cQclyMv-wuM,Standard,5.0,0.0,
Xk84qpNtOaI,Reaction,8.0,9.0,
62QNyRfaNH8,Reaction,7.5,7.0,
IeYIcjo8GQw,Standard,3.5,0.0,
9yS7Y16ZNS0,Standard,3.5,5.0,
cVYeVcS3-Ic,Standard,-1.0,-1.0,
9nm3w7k2qns,Standard,-1.0,-1.0,
Px5-A_UTi-k,Reaction,3.5,0.0,
g_3_ytfuSaQ,Standard,7.5,8.5,
btlFjY5jeus,Standard,-1.0,-1.0,
LFR1702xkgk,Reaction,8.5,9.5,
3RfDV1JVhIo,Standard,5.0,0.0,
aHw5RQHtyfw,Standard,4.0,0.0,
2UF7Ko8Ezcc,Standard,3.5,0.0,
77qDE_t8JlA,Standard,-1.0,-1.0,
lH3sFKMBGzQ,Standard,-1.0,-1.0,
BrwMiGxf7hw,Standard,-1.0,-1.0,
9cyQWpPtRKY,Standard,3.5,6.5,
ZXX1QTfj4aI,Standard,8.5,7.5,
8Gh70Uz2X_s,Standard,-1.0,-1.0,
HIvBtSeyQgk,Standard,6.5,7.5,
Bi4SP_Uohhs,Standard,4.5,4.0,
KxQkrKCFs7w,Standard,8.5,8.5,
ncb3V8xbMMY,Standard,5.0,0.0,
8oCnFNBbyKU,Reaction,7.0,7.5,
Nn_jtt-vlfY,Reaction,9.5,9.5,
BKHGhkwMGU0,Standard,9.0,3.5,
ZLAmQoBrq_A,Reaction,4.0,1.0,
sAwAMEXychQ,Standard,7.5,4.5,
FRK1uOKJpjk,Standard,7.5,7.0,
PvlMbq6gv3Y,Standard,5.0,0.0,
_k5Ns3tk3Hs,Standard,5.0,0.0,
6HdxZpnMoYU,Standard,-1.0,-1.0,
VIiQjIKzD7k,Standard,8.0,7.0,
qwGZVJMEqTc,Standard,5.0,0.0,
0N0NtBNVL70,Standard,6.0,2.0,
jsmkI1DWsxY,Standard,5.0,0.0,
Gh9Dhakx1U4,Reaction,-1.0,-1.0,
fHOIRL88KoE,Standard,7.5,4.5,
--zSYK5wk6U,Reaction,7.5,7.5,
7d3kCiMPbsY,Standard,5.0,0.0,
XJsRwxxinPw,Standard,-1.0,-1.0,
0_R_kN15xOM,Standard,8.0,7.5,
gcYyn5ZByEI,Standard,-1.0,-1.0,
lS7rCFtT51w,Standard,6.5,0.0,
epRrBJHyIqs,Standard,8.5,9.0,
o9z18PRuQ5M,Standard,-1.0,-1.0,
cULTqwBkC0A,Reaction,7.5,8.5,
7sHNhWcZnac,Reaction,8.5,7.5,
bA8cJbjmplk,Standard,5.5,6.5,
UGezKXDaMxc,Standard,3.5,0.0,
naL0w5jQLMI,Standard,-1.0,-1.0,
