video_id,video_type,populism_score
ja4I5i0SK8Y,Standard,0.0
-bXKvjrszvA,Standard,4.0
HpT3UXMVHpc,Standard,0.0
5ScmPFynTuY,Standard,-1.0
JyTh0criz6w,Standard,0.0
5I5GmviH1jw,Standard,0.0
7cqzaHOF1aU,Standard,0.0
l3a2xme_XzI,Standard,0.0
UxUIn-SSgFk,Standard,0.0
Qwa5INoDLGM,Standard,-1.0
It3T71VcOns,Standard,8.0
6EsRDWlxhr4,Standard,0.0
oGFLBuFyrh4,Standard,0.0
HkWBIGlVXaU,Standard,0.0
qilZ0hXYAW8,Standard,0.0
-uQudYApQtI,Standard,6.0
3rQ-xSEWv3E,Standard,0.0
ptoyUOXZb50,Standard,0.0
FMG_Asza4-U,Standard,0.0
ckToVbvtYlE,Standard,0.0
yD_EvIJ3Np0,Standard,6.0
1iIeulZcVPE,Standard,0.0
Wji2w6MJGlU,Standard,4.0
FjMgSzeaV5w,Standard,-1.0
4mcg9BEBAKE,Standard,0.0
w7r-gRLGgsE,Standard,-1.0
qZZV5m2YljM,Standard,-1.0
nbrK2lSeE1k,Standard,-1.0
M6mwq1SI19c,Standard,0.0
Gq_lKnNuwhQ,Standard,6.0
dMyB8Xar-Lg,Standard,0.0
tkZZp4qOcPA,Standard,-1.0
ymzn752zfjg,Standard,0.0
cGOyyhH-CL8,Standard,0.0
sVBPepScYb8,Standard,0.0
olSwAsR3xY8,Reaction,0.0
-Bc4kNiVOBo,Standard,-1.0
cYQHmFrCOUA,Standard,0.0
a7mdyhqRFzo,Standard,-1.0
xRvRyVGm08g,Standard,0.0
RCAN4SEVuuM,Standard,0.0
drvVb4GLlPE,Standard,0.0
Mu8pOmCPQcA,Standard,4.0
A06jbYDI_8A,Standard,-1.0
K3oVFEf-CwE,Standard,0.0
LG515eZ4M2k,Standard,4.0
9Fu3-l6Q21Q,Standard,0.0
t7Q83fvrhoc,Standard,4.0
MkGilRAFIQ0,Standard,8.0
xcQLc2r2elw,Standard,4.0
GUJ4C4IPrQg,Standard,0.0
7bYDbwAAdvA,Standard,0.0
yv64BHmULA0,Standard,0.0
9hlrTXbf6qU,Standard,0.0
8viIMU6pDd8,Standard,0.0
TxTx7pEPFbM,Standard,0.0
mLFBYDZu2e0,Standard,8.0
QdtcgQp-b6o,Standard,0.0
h-6ApF79_28,Standard,4.0
hEk349_5pu4,Standard,6.0
QPfy-xi0UQk,Standard,0.0
5yv606pVn-M,Standard,0.0
08ZFtxKgK2A,Standard,0.0
F_arLsSskGg,Standard,-1.0
FN79k86j1-w,Standard,0.0
4OJ8uZzILco,Standard,0.0
qUW2-w7ehSQ,Standard,0.0
p616m-G0bYs,Standard,0.0
lHpcBlYSwyk,Standard,0.0
ZQ4LCSz0W0U,Standard,6.0
fC2yQap_jUA,Standard,0.0
OJqDNqYzMf8,Standard,-1.0
RpbZHfWmB20,Standard,0.0
f-Xezp6CKE0,Standard,6.0
Ww6CS0tjPes,Standard,4.0
8MyPw44cabE,Standard,-1.0
INquVgUi70U,Standard,8.0
tg_8NR4iSMg,Standard,-1.0
1vlJBWnNwqs,Standard,0.0
LCpC7pg7vGo,Standard,0.0
AnbvdXyKCGw,Standard,-1.0
BTrbSJtGlao,Standard,0.0
7o_i3Yt3VdU,Standard,6.0
oTvmQrY6q9g,Standard,0.0
pudqpD0ZrU4,Standard,-1.0
gEf-eOkyMM0,Standard,0.0
Njv9mybOGVo,Reaction,8.0
1b0AyT16svc,Standard,-1.0
eP9-R6vM_ws,Standard,0.0
iIAal9yh960,Standard,0.0
KkfzWa0_6N8,Standard,4.0
RqRDON01uGI,Standard,2.0
hPRLmfV9ukg,Standard,0.0
TM7xpkSz7eM,Standard,0.0
PofHf8ODcm0,Standard,-1.0
7F6IR7x4GN4,Standard,0.0
EQV1tIUzEK0,Standard,0.0
LDcMsoMvLRU,Standard,0.0
wJQoDVDMz08,Standard,0.0
3s_r8rmBLI4,Standard,0.0
PjZ_Zsa10wQ,Standard,0.0
