title,confidence_score,politics_classification,video_id,channel_id,published_at,time_delta
In der Nordsee existiert seit 60 Jahren ein unabhängiges Fürstentum,0.7752647399902344,1,AyMirtP5HPA,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-07-27 12:00:07+00:00,-3
"Chinas teuflischer Plan, den Balkan zu unterwerfen",0.8986219763755798,1,kCu6Tcxj0bw,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-07-19 12:00:39+00:00,-3
Wie mächtig ist die Arabische Liga? Konkurrenz zur EU?,0.9109026789665222,1,7huW7HLSgYc,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-07-09 12:00:06+00:00,-3
"Was wäre, wenn sich der Balkan zu einem Staat vereinigen würde?",0.9079263210296632,1,cqV0LbalkQU,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-08-06 12:00:34+00:00,-3
Warum Schiffe bis heute nicht um Südamerika fahren,0.2863687872886657,0,OC3a5UYIvug,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-08-03 12:00:16+00:00,-3
Wie Russland zum größten Land der Welt wurde,0.4787725210189819,0,O7WSXhOjKvU,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-07-24 12:00:28+00:00,-3
Liechtenstein wurde aus Versehen überfallen und niemand bemerkte es,0.4182215929031372,0,z3aMk6Lm3J8,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-07-07 12:00:56+00:00,-3
Wie deutsch ist Schlesien heute noch? (ehemals Deutschland),0.4697634577751159,0,oXXzVJ-SqnU,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-07-30 12:00:37+00:00,-3
Saudi-Arabiens $500 Mrd. Winterspiele sind ein Desaster,0.1234448552131652,0,7mRipqaLuqI,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-07-12 12:00:09+00:00,-3
Warum ist Kaliningrad heute russisch?,0.3636468946933746,0,5fr2J4u0hiQ,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-07-16 12:00:04+00:00,-3
Warum Irland und Großbritannien bald vereint sein könnten,0.7348812818527222,1,4vNuHMiJZp0,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-08-09 12:00:02+00:00,-2
Warum konnte Spanien Portugal nicht erobern?,0.6813028454780579,1,-JM00yOYmsU,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-08-27 12:00:00+00:00,-2
"Kalifornien will unabhängig werden, wenn Trump gewählt wird",0.9481020569801332,1,iN3jW4ZBFr4,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-08-20 12:00:25+00:00,-2
Warum griff Frankreich Deutschland 1939 nicht an?,0.5917232632637024,1,f8Gvr57cLU0,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-09-04 12:00:37+00:00,-2
Warum „verschenkte“ Deutschland Nordschleswig?,0.6015936136245728,1,yA3Vuoux6Aw,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-08-17 12:00:48+00:00,-2
Warum Hitler Schweden verschonte,0.7407373189926147,1,92x3YL7ifUA,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-08-23 12:00:07+00:00,-2
Österreichs tragischer Verlust von Südtirol,0.2467601597309112,0,rqaRmiYR5co,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-08-31 12:00:45+00:00,-2
Das grausame Ende der Schweizer Kolonie in den USA,0.3752484619617462,0,hV7clAlDr1U,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-08-13 12:00:27+00:00,-2
Warum Mexiko über 50% seines Territoriums verlor,0.6428809762001038,1,dRni61lx9As,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-09-07 12:00:35+00:00,-1
Warum Belgien 2024 auseinanderbrechen könnte,0.8743724822998047,1,PzzJQBT3pL0,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-09-14 12:02:15+00:00,-1
Warum Bayern kurzzeitig ein Sozialistischer Staat war,0.9111204147338868,1,4BU3roSQL_A,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-09-20 12:00:07+00:00,-1
Warum Japan jetzt diese Inseln von Russland zurück will,0.6590760946273804,1,B0x0eiGUSt4,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-09-24 12:00:09+00:00,-1
Jetzt wollen auch noch diese Inseln raus aus Großbritannien,0.6194713115692139,1,eQMl0f6mJyU,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-09-27 12:00:38+00:00,-1
Hitlers grausamer Plan für einen jüdischen Staat,0.94724702835083,1,ndqr-KO9nPA,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-10-01 12:00:42+00:00,-1
Dieser Staat wollte die USA herausfordern! Warum kollabierte er?,0.5343695282936096,1,MEQwoq7PhUM,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-09-17 12:07:15+00:00,-1
Warum war Italien im 2. Weltkrieg so unglaublich schwach?,0.4189346432685852,0,vl8YrLvloag,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-10-06 12:00:58+00:00,-1
Die komplette Geschichte von Tibet,0.0690065547823906,0,J-3Pca5-qp0,UC-5mMIF1gq5l6Nh5BuKX2qw,2023-09-10 12:00:11+00:00,-1
Hilfe bei Kündigung der Lebensversicherung - dem Geldgrab entkommen | Interview mit Felix Früchtl,0.1007900834083557,0,LzHTAbisAv0,UC-AuFwnIKhlrfMRRiMVrIqA,2023-07-14 07:00:07+00:00,-3
Fast gestorben - So sehe ich die Welt heute | Interview mit Wolfram Andes,0.3984064161777496,0,DElnsbtW_qY,UC-AuFwnIKhlrfMRRiMVrIqA,2023-08-04 07:00:04+00:00,-3
Wann kommt die nächste Krise? „Spätestens 2024 geht die Bombe hoch“ – André Stagge zu Finanzmärkten,0.0161460470408201,0,ANxDC8m_5WE,UC-AuFwnIKhlrfMRRiMVrIqA,2023-07-07 07:00:02+00:00,-3
Wie sieht die Zukunft des US-Dollars aus? BRICS planen neue Weltwährung 🤯,0.4315842092037201,0,aTZaMD7aR-Y,UC-AuFwnIKhlrfMRRiMVrIqA,2023-07-21 07:00:05+00:00,-3
3-mal mehr Geld verdienen! Wie ein VIP-Club-Mitglied das geschafft hat,0.328529417514801,0,tiB8YR-ahQ4,UC-AuFwnIKhlrfMRRiMVrIqA,2023-07-28 07:00:21+00:00,-3
Wie sicher ist mein Depot bei der Bank? Überraschungen garantiert!,0.5674572587013245,1,qEaWN7p5M-0,UC-AuFwnIKhlrfMRRiMVrIqA,2023-08-18 07:00:33+00:00,-2
„Ohne Experten wird die Reise ewig dauern!“ – Der Weg zur finanziellen Freiheit – Erfahrungsbericht,0.0170698780566453,0,5yUFqq1K6Hs,UC-AuFwnIKhlrfMRRiMVrIqA,2023-09-01 07:00:02+00:00,-2
Wie sicher ist mein Geld bei der Bank? Schockierende Analyse des Bankeneinlagensicherungsfonds,0.4717099368572235,0,WdBcZyNbIRQ,UC-AuFwnIKhlrfMRRiMVrIqA,2023-08-11 07:00:21+00:00,-2
Klick Tipp Erfahrungen: Zurecht Marktführer? ✋ACHTUNG! Schau dieses Video BEVOR du KlickTipp kaufst!,0.0630483105778694,0,rHnhUFDxcFE,UC-AuFwnIKhlrfMRRiMVrIqA,2023-08-24 12:20:55+00:00,-2
Mit Krypto 100% banken- und systemunabhängig leben in Gambia,0.001893225708045,0,s_TtaIUcPb0,UC-AuFwnIKhlrfMRRiMVrIqA,2023-08-25 07:00:32+00:00,-2
Wie ich selbst zum Millionär wurde! Jubiläums-Ausgabe 400. Folge Faszination Freiheit,0.0011717940215021,0,gBUecUs5j14,UC-AuFwnIKhlrfMRRiMVrIqA,2023-09-08 07:00:30+00:00,-1
Zukunft der Banken und Krisenausblick 2024 | Dr. Markus Krall,0.0796745419502258,0,9lHreZmhtew,UC-AuFwnIKhlrfMRRiMVrIqA,2023-09-22 07:00:05+00:00,-1
Geld vermehren durch Experten-Netzwerk | Wie Monika ihr Vermögen vervielfachte,0.1674908250570297,0,iHu5aEb8Ykw,UC-AuFwnIKhlrfMRRiMVrIqA,2023-09-29 07:00:16+00:00,-1
Dr.  Markus Krall – Die kriminelle Wahrheit zur Rufmordkampagne,0.1846939772367477,0,lbmVMZotp4Y,UC-AuFwnIKhlrfMRRiMVrIqA,2023-09-15 07:00:22+00:00,-1
Der Kryptomarkt wird feindlich übernommen: NEUE Spielregeln!😱,0.0307339299470186,0,1i4uQ1P56k8,UC-AuFwnIKhlrfMRRiMVrIqA,2023-10-06 07:00:00+00:00,-1
TRANS IST TREND! WIE EINE IDEOLOGIE UNSER LAND VERÄNDERT! 😩🏳️‍🌈 [DOKU] REACTION - Leon Lovelock,0.9421351552009584,1,qJlBu15CuwM,UC-Weu4-hPc3K-cVusdyQg4g,2023-08-01 13:00:40+00:00,-3
GEHIRNCHIPS & MENSCHEN IM LABOR GEZÜCHTET 😱🧠🔬 IST DAS DIE ZUKUNFT!? [DOKU] REACTION - Leon Lovelock,0.6396234631538391,1,u9LRPYX3Gtk,UC-Weu4-hPc3K-cVusdyQg4g,2023-07-13 13:00:45+00:00,-3
DIE GRÖßTE VERSCHWÖRUNG DER WELT (2) 🌎😵‍💫 [DOKU] REACTION - Leon Lovelock,0.9862576127052308,1,WuEaNhV0vQM,UC-Weu4-hPc3K-cVusdyQg4g,2023-07-24 13:00:33+00:00,-3
WIE DEUTSCHE POLITIKER SICH DURCH KORRUPTION BEREICHERN 😱 [DOKU] REACTION - Leon Lovelock,0.9982038140296936,1,De1r89rNcbo,UC-Weu4-hPc3K-cVusdyQg4g,2023-07-25 17:07:46+00:00,-3
DIE GEHEIME MACHT VON MAGNESIUM!😱[DOKU] REACTION - Leon Lovelock,0.7559693455696106,1,aguH4p4O2II,UC-Weu4-hPc3K-cVusdyQg4g,2023-08-06 11:00:02+00:00,-3
DIE GRÖßTE VERSCHWÖRUNG DER WELT (1) 🤯🧠  [DOKU] REACTION - Leon Lovelock,0.9914804697036744,1,G8MJ-bAE7-U,UC-Weu4-hPc3K-cVusdyQg4g,2023-07-10 13:00:09+00:00,-3
DAS DRITTE AUGEN! 👁 ERKLÄRUNG & AKTIVIERUNG! 😮 [DOKU] REACTION - Leon Lovelock,0.5180585384368896,1,4VW6IskbzYU,UC-Weu4-hPc3K-cVusdyQg4g,2023-07-22 11:00:04+00:00,-3
"WIE  MIT DER ""PANDEMIE"" SCHMUTZIG GELD GEMACHT WURDE 😷😱 [VORTRAG] REACTION - Leon Lovelock",0.948250412940979,1,xUraRFqtEyY,UC-Weu4-hPc3K-cVusdyQg4g,2023-07-27 13:00:49+00:00,-3
TOTALE KONTROLLE! DIGITALER EURO KOMMT 2026 🤯 [VORTRAG] REACTION - Leon Lovelock,0.9311501383781432,1,i80xDiaztoY,UC-Weu4-hPc3K-cVusdyQg4g,2023-07-07 13:00:39+00:00,-3
DIE PYRAMIDEN DER ANTARKTIS & DIE MENSCHHEITSGESCHICHTE 🤯🧊 [DOKU] REACTION - Leon Lovelock,0.5583269596099854,1,PZ5cxuvsRdE,UC-Weu4-hPc3K-cVusdyQg4g,2023-07-25 13:00:17+00:00,-3
"DONALD TRUMP, MUSLIMISCHE LÄNDER, OKULTE MUSIKINDUSTRIE & USA 😱🇺🇸👿 [REELS] REACTION - Leon Lovelock",0.8229907751083374,1,jAqDXYza9Bg,UC-Weu4-hPc3K-cVusdyQg4g,2023-07-26 18:13:29+00:00,-3
WIE DIE LGBTQ+ AGENDA ZU WEIT GEHT UND UNS SPALTET! 😱🌈 [DOKU] REACTION - Leon Lovelock,0.8077641129493713,1,qGOpnt-JJrs,UC-Weu4-hPc3K-cVusdyQg4g,2023-07-19 13:00:40+00:00,-3
UFO 361 IST VOM TEUFEL BESESSEN! 😱👿 [DOKU] REACTION - Leon Lovelock,0.0064131640829145,0,x61SFC8iBZM,UC-Weu4-hPc3K-cVusdyQg4g,2023-07-11 13:00:51+00:00,-3
GENDERN 🤯 MASSIVE KRITIK an ARD & ZDF! [DOKU] REACTION - Leon Lovelock,0.0431233681738376,0,Hwrd6sXifMQ,UC-Weu4-hPc3K-cVusdyQg4g,2023-07-31 13:00:24+00:00,-3
SO WERDEN DIE NACHRICHTEN MANIPULIERT! 😳 [DOKU] REACTION - Leon Lovelock,0.3015677034854889,0,ZZyfzDKhR_I,UC-Weu4-hPc3K-cVusdyQg4g,2023-08-04 18:34:04+00:00,-3
MIND CONTROL! DIE SATANISCHE MUSIKINDUSTRIE (2) 😈🎵 [DOKU] REACTION - Leon Lovelock,0.4165592789649963,0,riIEedzTB1c,UC-Weu4-hPc3K-cVusdyQg4g,2023-07-17 13:00:44+00:00,-3
KLIMANOTSTAND IST EINE LÜGE! NOBELPREISTRÄGER PACKT AUS 🤯[VORTRAG] REACTION - Leon Lovelock,0.161617711186409,0,-2cR2JThzqA,UC-Weu4-hPc3K-cVusdyQg4g,2023-07-28 13:00:00+00:00,-3
"NUR EIN PIEKS! DIE ""CORONA IMPFSCHÄDEN""  (1) 😱💉 [DOKU] REACTION - Leon Lovelock",0.0540487505495548,0,4YLGhgkx4Rk,UC-Weu4-hPc3K-cVusdyQg4g,2023-07-20 17:31:18+00:00,-3
DIE GROßE WASSER LÜGE! 😱💧[DOKU] REACTION - Leon Lovelock,0.1518749445676803,0,FyGGJeaZgPg,UC-Weu4-hPc3K-cVusdyQg4g,2023-08-05 11:00:12+00:00,-3
