video_id,israel_regierung,palaestinenser_zivil,hamas,westliche_staaten
swfGxsaLgsM,0,,-1,0.5
l3eY-JpNOMI,0.5,,-1,-1
XK06hOO_7-c,0.5,,-1,
MLg1RtkXgoM,-1,,-1,1
njFFaCkLUls,-1,,,0.5
icGHiuKmNe0,0.5,,-1,0
oHKoLgxQLUk,1,,-1,
5lPT_w2Hbnw,-1,,,-1
TcWu9wpSZ7k,1.0,,-1.0,1.0
pJ0PgW-fIHw,0,,,0.5
A0aD-2WqbdM,-1,,-1,
7zAlgYVlcnI,-1,,,-0.5
GcZ21fKS74M,0,,,0
rby7EC4h1zs,,,,0.5
xFhHQp_FDow,-0.5,0.5,-1,0.5
iEw2g6Xlz-k,,,-1,
ELhyyr8rmy0,-1,0.5,,-1
ONFpIkJLSro,,,,-0.5
eBqZF9x4NnM,0,,-1,
Rqo1229sgp8,-0.5,,,0.5
FFpAfrr3Q-E,-1,,,-1
cjHHTF754uI,-0.5,,-1,
W9aD-BrA2UU,,,,
ctF65Q9nKYQ,0,,-1,
q0mxCY_p_O0,1,-1,-1,-0.5
S1O4eLatZWc,,,,
GCs-FI2ocCo,1,,-1,0.5
uAY-qrim8VY,0.5,,-1,0.5
Zy89wAWp-nA,-0.5,,,0
OJ8zZQyNBtM,-1,,,-0.5
Fq-LjVMQlNM,0.5,,,1
IFpdRfRvtRA,1,-1,-1,-1
ZKwVpLFwd_o,-0.5,,-1,0
vVqLiY9M7CE,-1,1,-1,-1
kkzpw71itwQ,-0.5,,-1,1
feXz8FvRYQY,-1,,,1
ZGQEpapnjLQ,1,-1,-1,
yc3OJhF8kfc,-1,1,,-1
caOnaP40WbA,,,,
zd8mQw1Vs0U,0,-1,-1,
f1gm2ZV9IPE,-0.5,,,
PxPVSVW_9Xo,-1,,,
qvT42u6Y8aE,0,,,-0.5
12gVgxWHjHo,-1,,-1,1
8fcHsaK33Ls,-1,,,
O0Shi-6O9jM,0,,-1,0.5
jVnUuaDQLuY,-1,1,-1,0.5
X30ketQ-4mk,-1,,,-1
_IiaQR8l0Fg,-1,,-1,
CIekD2Zkwfc,0,,-1,-0.5
86qm0BfOzj0,-1,,-1,1
PUqc-B2AC3A,0.5,,-1,0.5
HCguwcP-zvE,1,,-1,
-7CL9E1UKms,0.5,,-0.5,1
kODn13P2bto,-0.5,,-1,+1
wi1RrhPSY_o,-1,,,
XOJLpMx8vL8,,,,
eTXcz4Z9UvM,,,,
ObrhXxdx60A,-0.5,,-1,
EZ1BgPZHPHQ,0.5,,-1,1
3Z7SOZamiE8,-1,,-1,-1
Gcili8kIfqQ,,,-1,-0.5
ENuasNw_jwQ,-1,,-1,-0.5
SBMw1otvIZk,-1,,,0
yIDAXVXhYDI,-0.5,,-1,-1
bJ4jKvcdK9I,1,0,,1
KOYpqfVqAdw,-1,0.5,-1,-0.5
qf1NJd6M_N8,-1,0.5,1,
QeRH_5bpQaM,-1,,,0.5
kFbenqQie4c,-1,,,0
b-MNgfpr9fs,-1,,,
r86NCgEjreg,-1,,-0.5,
tewou50HN_g,0.5,,,0.5
f92HM1O90I4,-1,0.5,-1,-1
fk_YfZG_yhk,,,,-1
WY5LE1zFb2I,-1,1,,-0.5
bqzbj8x0Vaw,-1,,,-1
eHDZL5kV008,0,,0,
P0rzSar85E0,-1,,-1,-1
bPwcuchcWp4,-0.5,,,-0.5
HLtyaBQv044,-1,,,0.5
03rukjBdcFY,-0.5,,-1,
AIOZVoEkh_c,0.5,-0.5,-1,-1
toLTQokZyOw,0,,-1,
hNI8bgHrCXE,0.5,,-1,0.5
koq0-xbM8lo,-0.5,,-1,
BDqz0_6kp-E,0,1,-1,1
f2PL62_pODI,-1,0.5,-1,-1
myV8FNLu4jw,-0.9,,-1,-1
qJTgMryQcLI,-1,1,,-1
XC37WJtCWEY,-1,,,-1
8bebcVzPV98,1,,-1,1
3RNkGdLP6WE,-1,1,,
Mk9dD7ogna8,0,,-1,
A8jZiPJaMTc,0.5,,,-0.5
DZXD8excKpw,,,-1,1
fw5ObC-uwrw,1,,-1,
UQHg1cmRBW4,0.5,-0.5,-1,0
lljELJe6l9k,-0.5,,-1,1
AjpbcylRN6I,1,,,1
MNH-RNlaDQM,-1,,,-1
YnBV5rdUX84,,,-1,
jZ_ZqhVF_qM,,,-1,0.5
It3T71VcOns,,,-1,-1
kx3F1E_ZOkg,-1,,,-1
O8gWuAdsro8,-0.5,,-1,
HTfI2-gOyIU,-1,,,-0.5
2J60yPStBD0,-0.5,,-1,0.5
MEQkaXcARNs,0,,-1,0
_scURqy6xUM,1,,-1,
hpTLScGPI-M,0,,-1,-1
TIBSEeaBw7s,,,-1,
vG4wOWAKtAE,-1,,,-1
W4b3mL0mNEc,-1,,,-1
9fbsnyA9jDA,1,,-1,1
sYAfK0ztPEY,-1,,,-1
xT36gWfE6Uk,-1,,-1,-1
t0UA4yjGZZI,-1,1,,-1
tbr6803JnF0,-1,,,
133qY4HHT-0,-1,,-1,
KxjnXvxZL1I,-1,,,-1
wTKwZuMywzM,-1,-1,-1,-1
AEZS9rbzPZ4,-0.5,,,
6jG0n-IubYM,-1,0.5,-1,0.5
-Fb9VVL0YS4,,,,
PjE8yhMIlnc,-1,,-1,-1
RamcxGqi1dU,-0.5,-1,-1,-0.5
i8xtsOlrhbQ,-1,,-1,
kyojHO2qNaQ,0.5,,-1,
J-hakMFlJ6U,-1,,,-1
AZ5IGwAuN-s,-1,,,-1
1dLcFzCSqgA,-1,,,-1
3n5GvgqJG-w,1,,-1,1
5_aaSQoRZhI,-0.5,,-1,
hF79VEc_4rY,-1,0.5,,
CzcNKHp2p5A,-1,,-1,-0.5
TbXcHsG5sZA,,,,-1
74e_061gm-U,-1,,,-1
ZhGr0yCmjLY,1,,,-0.5
K-72T8tiUok,,,,
c0FysAAkO3I,,,,1
0lIBs949NqY,-0.5,,-0.5,
lG7bJ0oj2q0,-1,,-1,0.5
kCTtPPq29FI,-1,,-1,
Xj-Nd7jmhu0,-1,,,
7YTc9l3zTkw,,,,0.5
gh19WZXm5fQ,-0.5,,-1,1
W8GabRQK3F8,-0.5,,-1,0
Tm1iXNFSmpE,0.5,,-0.5,1
_ZQlVScLNTE,-1,,,
J00qYoqhDmk,1,,,-0.5
kiru2YHUCvE,-1,,,
6V2Hlbthfkc,-1,,-1,
iRr-5J8p_ag,-0.5,0.5,-1,-0.5
OAyc7hAcVZM,1,,-1,0.5
TOVBTE3VDt8,-0.5,,-1,
0P4KOxcu0TA,-1,,,-0.5
wtOj46NtOAw,-1,,-1,1
-gT96lq1KCY,,,,
evoK88z2yJU,,,,
TcX8reC64Ww,-1,,,
iqicsSCbvw0,,,-1,-1
lTWxmHW5-gY,-1,0.5,-1,0.5
eB97abszFvw,-1,,0,-1
GSva4hZX8R8,-1,,,0.5
el6PoH_zCS0,-1,,-1,0.5
H5cONu7tGWw,,,,
JjDr9gBnDgw,-1,,,-1
3rai_o-NPAI,-0.5,,-1,-0.5
oc2YHwo-sbU,-1,,-1,1
kTikFNbspiw,-1,,-1,-1
C_ehUvoMeTU,-0.5,-0.5,-1,-0.5
3WwQKNSN6N4,1,-1,-1,-1
_mPXqP43Odk,-1,,,-1
myUjPtJL-XU,-1,,-1,
Gss_2c45THA,-0.5,,-1,0.5
yfd61GEyO-Q,-0.5,-1,-1,
bQBDRYYteW8,0,,-1,0.5
1V_mZH86Z8Y,-1,,,
Lyv5QbDNUQI,-0.5,,,-1
s532YsryoWM,-1,,,
CAs5ECQz8ec,-1,,,1
KmuXJfZ-yF4,0.5,,,1
yTAn7peXO1k,-0.5,,-1,0.5
V347AbzFaQM,-1,,-1,-0.5
B6G6ifAoXvo,0,,,
NymJ1Pr_SV8,-0.5,,,-1
-vLHKxzjyIY,-0.5,,-1,
9WNeYraavY8,-0.5,,-1,0
hdoLTijqUME,-1,,-0.5,0.5
Xty3Z4ciYzc,-0.5,,-1,0.5
PIlQrSt5onU,,,-1,1
TUqsza2vNkA,-0.5,,-1,-1
_JKhOniHGVk,-1,,-1,0.5
KIy_MGSZHAU,-1,,,-1
4F2JH7seN7E,-1,,-1,0.5
U17o4PhRHZk,,,-1,
Zv4xQ-EGFAs,1,,-1,1
g_3UwkjTSjc,-1,,,1
Zg-e96bzrrs,-1,,,-1
5lQB0IUFUVA,-1,,,-0.5
LCzpx70g6zQ,-1,,,
IcX2NKUpZkQ,-0.5,,,-0.5
TdArRt3aLNQ,-1,1,,-1
O_ZrY_MRUe0,0,,-1,
Mj2E0OSlIDM,-1,,-1,-0.5
DlMKkejy8vs,0,,-1,-0.5
rby5ehbwkIs,0.5,-0.5,-1,1
wRwvJcIzhrA,-0.5,,-1,0.5
M9wTB92Hb2Y,-1,,,-1
g-V80SD4dMA,1,,,1
y4rVwSm5baI,0.5,,-1,0.5
wEJRgU2nKG4,,,,1
UrwTy9N_y7s,,,,0
SsMMUZJ7aiw,+1,null,-1,-0.5
_Q_cyr2r044,-1,,,
2VMLlM34-No,,,-1,-0.5
rU2lgdKZu2A,,,,
1YEOb9yaxE0,-0.5,,,
Z6ndeiNDzUE,-1,0,-1,-0.5
9BOEtolfZ20,-1,,,-1
B-C59nlQ17U,-1,,-1,
gfzhqk2kUKU,-0.5,,-1,0.5
LHS33D6NqBM,0,,,
tNY-fpOqFQA,,1,,-1
NzObpWsheYU,0.5,,,-1
nUW4esuGt2k,1,,-1,
vOAwarZ6plw,-1,,,
b3CRSGvjGwE,1,,-1,1
F-3nPlZiQx0,0,,-1,1
Bpl7QPOg2SE,,,,-0.5
npHaJbheitI,1,,-1,1
I7_C-T7AnhU,1,,,0.5
5ed8DyrxHdM,,,,
xNxnm8IZvZE,-1,,,0.5
Jpn4U2nhUHU,-0.5,,-1,
GBnRbNplM1o,,,-1,
iOjG2ZO07Bg,-1,,,-1
yTLoydblRyY,-1,0.5,-1,-0.5
6kDBJFe1cys,1,0.5,-1,0.5
kGieolsCbw8,-1,0.5,,-1
DE9MHwXT0e4,-1,,,-1
Z10LuCDmay4,1,,,-0.5
yDihN78xOrU,,,-1,
fUkrKHCquWE,0.5,,-1,-1
WpKu1QIf18w,-1,,,
PUBWVpG7cIg,-1,0.5,0,
IbNXjC3mSVw,,-1,,
UJ-IU4zQpHk,,,,
gP_f_L-8Sqs,-1,,,-1
bJPpfw9BUVo,-1,,,-1
IEFiowucalc,-0.5,,-1,
TbgsZv4nJJo,-1,,-0.5,0.5
TAApRad1r8k,1,,-1,-1
y4qn9HL_zi8,-0.5,,,
8tvTAXBOJ7s,1,-1,,
6jECz4RmQcI,0,,-1,
gMSB_ERb9Ik,-1,,,-0.5
_IyimapRzPo,-0.5,,,
UaVEG92dGTw,1,,-1,0.5
WlWcAnMyUiU,1,,-1,1
6eOSKxBBvn8,,,,-1
CFQmtInQlqk,-1,,-1,0
ZQ4LCSz0W0U,1,,-1,-1
bXDd3Ts5QU4,0.5,,,-0.5
9B1AMMvi53c,-0.5,,-1,
5pHt-SVJWmI,0.5,,-1,
7UH7MjqnK30,-0.5,0,-1,0.5
ztBrY7ZN6Jc,0,,-1,0
TYf4mCQfEJI,-0.5,,,-0.5
EGzGaozEpt0,-1,,,-1
37D2LkuXKh8,,,,
CFrQ53kbDQo,-0.8,0,-1,0.5
WEBcdLcgeVk,-1,,-1,-1
WckcVTD8bRE,1,,-1,1
CYPOyhntAPQ,-0.5,0.5,-1,-1
YWzO_-uXriU,-0.5,,,-0.5
T8yybjRip68,1,,-1,
yT_pIX7YUQc,-0.5,,-1,-0.5
KJ5iyMya8Ao,-0.5,,-1,
GA5QXxc05sg,-1,,,-0.5
dY03yhFtF88,-1,,,-1
vGR6m8xsKlY,0,,,
pP7tvRDw0MU,-0.5,0,-1,-0.5
xrzI9DTqzMU,0.5,,-1,1
Hj8S5rn0_J8,-1,1,,
yPcvg4jawvQ,1,,-1,
K2VTZn99hzs,,-1,-1,-1
ghOthAmQkxU,-1,,,
XGb83-lPNdA,-1,,,
ZPxIUzmS2Es,1,,,-1
xXJ2170OltI,1,0.5,-1,0.5
fjmTqGdLFIg,1,,-1,-1
Gq_lKnNuwhQ,,,,-1
uikJRRMFtHM,-1,,-0.5,-0.5
YDYHlFWc1fQ,-0.5,,,-0.5
BIdD95euZD0,,,-1,
Hl467SXlUOM,-0.5,,-1,0.5
Hc0IJFjFIxE,0.5,,,0.5
Gxf4JtAoEsA,-1,,-1,-1
F9pHEIED5eE,1,,-1,0.5
piOeIWZA0ow,-0.5,,-1,0.5
B3PG_8rbytg,-1,1,,
p0fH2--0TbM,-1,,,-0.5
q4SIbfHX9hQ,-0.5,,,
9p-0PGdp3GA,1,,-1,1
8w3i35zMipo,-1,1,,
HzcU2KRmKrg,0,,,0.5
zjFWqTEry1w,0,,-1,
WZdpY6M2owg,0,,,0
7yc7hUoIF2w,0.5,,-1,0.5
2eKm-moVoYE,-1,,,-1
-l6CcuqULxY,1,,-1,
F2aMkC3AKZw,0,,-1,
TXBOAJ4TkeI,0.5,,-1,-0.5
jKIaUT1znp4,1,1,-1,1
a7O_c95U8rk,-0.5,,-1,
xm9vF5rAvb8,-1,,,-1
WMXzPI6n8Ag,-0.5,,-1,0
rrFSwKP06fI,,,,
moNXfSQNY7g,-0.5,,,0
ioZJZSUJCyo,-0.5,,-1,0
vuDYvHCXP2E,-1,,,0.5
L91F8dNCnUw,1,,-1,
Y-7W3OrVStE,0.5,,-1,
_5zDy40mRy4,-1,,,-1
2xMv-9pnUzI,,,,-1
DAd_SwiwH04,-0.5,,-1,0.5
CezZo8PeF4E,-0.5,,-1,
qgBv1_7gpqQ,-0.5,,-1,
hcMcWrnPZsc,-0.5,,-1,0
0FnANuplxDg,-0.5,,,0.5
PQn22z1vUNY,,,-1,-0.5
tconVsGchzo,1,,-1,1
kZxfAK2BsXY,+1,,-1,
XhDMhV5U9kU,,,,
vwGtaBqn52M,-1,,,-1
IwpsXaKtGaI,1,,-1,-0.5
UV75M3EP938,,,-1,
aPXtE55_4LY,,,-1,
TqhYyNCkcTw,1,-1,-1,-1
w4boQXr67Vg,,,,0.5
sPNG2OotOrQ,-1,,,-1
diZC-GpzqPM,-0.5,,,0.5
YsIRg-84WOo,-0.5,,-1,0.5
3o9FglKB340,,,-1,0.5
DTFjV_BY5_8,-0.5,,-1,
c-tdvtCwlTw,0.5,-0.5,-1,
MtT5m6GDMRc,0.5,,-1,-1
BAYNAe8AJX4,-1,,,
ARyEC5jZLM0,1,,-1,1
pbvCJ-4qMzc,-0.5,,,-0.5
yZ3BjCPXfxs,-0.5,,-1,0.5
1DS6AeMxX78,,,,
X586tOq2qGs,-0.5,,-1,-0.5
JcTEGO5Q95s,0.5,,-1,-0.5
nWpZSQaofOA,-1,,,-1
MuM6vkFLeSs,-1,1,,
zDNCbrSrey0,0,,0,0
6zF7jw05vQw,1,,-1,-1
KXxVMsxxysY,-0.5,,,0
vVU6b_jcDTs,0.5,,-1,0.5
w2BNLeeVNrI,-1,,,-0.5
VoMtNDOOKHw,,,,-1
dHyPt-t1PZQ,-0.5,,,-0.5
LbHGUPyarsg,,,-1,1
eSQXnDHKrfA,1,,,1
CeYD7zQEstY,1,-1,-1,
jTekXc1NDwA,-1,,,-0.5
mu7ng_ipobQ,-1.0,-0.5,-1.0,-0.5
Uj4kwq7nZhs,1,-1,-1,-1
K2aMYMo4UN4,-1,,,-0.5
qRtfbn6pJe0,,,-0.5,0.5
txQmNj6YyUM,1,,-1,0.5
QBQL5342B_4,1,,-1,0
4Fum1WfrMls,-0.5,,-1,0.5
Hq58YkYJ2qk,1,,-1,1
56uHvCMVRKI,-1,,,0.5
zxJTtqdrOa4,-0.5,,-1,1
SFsro6-MJjA,,,,-0.5
gEXoQlXnrvM,,,,
oKffObJ3dNo,-1,,,
6udhE5F-Yrw,,,,-1
GSGR6m-baSE,-1,0.5,-0.5,-0.5
GDqQ4KMmmcI,-0.5,,,
iHeTiqg7bq0,0.5,,-1,0.5
MV8SbrLyDZw,-1,,,
lquTkPTOyTw,-1,,,-1
0qdyrD0sytw,0,,-1,0.5
dWpXA8G0G5I,,,,
NRx1yhzEgBI,0,,-1,
_AMkCxp5PTI,-0.5,,-1,1
sBrR1r9tYIY,-1,,-1,-1
s9yb28B72O4,-0.5,,-1,
YVtQttSubZ4,-0.5,-1,-1,-1
mv415K6f8xs,-1,1,0.5,-1
xqDqaehJ3VM,,,-1,0.5
1GulU9mUadg,-0.5,-1,-1,1
Wg8NfiSZ55U,-1,,,0.5
ehJFr945uYk,0,,,1
_8sn5LDEf3U,-0.5,,,
uYgMyg7QNOY,0,,0,
TWOkybnnZow,-1,,,
Pt-cKlNlhrY,-1,,-1,
Cm5CAsOtgs8,-1,0.5,-1,0.5
XaavOLb5jWg,1,,,
EMqoHI5xbJg,-1,,-1,-1
269bMUxwBzc,,,,1
CpL80TTkgaQ,,,,-1
U2tz-kS_ofI,-1,,,
Q-wxr_XiyNE,,,,
4FrGa7bkZvM,-1,,0.5,-1
pAME25wqgPk,-1,,,
