video_id,video_type,ideology_score,populism_score
5V2QOQaZE08,Standard,4.5,6.5
uyLLndzuI9I,Standard,-1.0,-1.0
6ur7d9iaxn0,Reaction,8.5,9.0
GUAxdmbCjq4,Reaction,-1.0,-1.0
EWUmh86u2ZM,Standard,-1.0,-1.0
6SoDZNZuEFc,Standard,7.5,7.0
pC-9HedYeOw,Reaction,8.5,8.5
2Bnft2ekdyk,Reaction,7.5,6.5
VbYUkmF7Mjc,Standard,7.5,6.5
4BOcZHUP-aQ,Standard,-1.0,-1.0
HRTxOgN49fQ,Reaction,6.5,8.5
sHbhz5YWsT0,Reaction,-1.0,-1.0
xOLFXLi0T_E,Reaction,8.5,7.5
wZ56ZKW46Zg,Reaction,7.5,6.0
YweMQHH-0r4,Reaction,7.5,7.0
WIUEP959beA,Standard,7.5,8.5
IWTw--Iw8hY,Standard,-1.0,-1.0
8JyLhJFgPVQ,Standard,-1.0,-1.0
hyny_e4im6w,Standard,-1.0,-1.0
VkOHytbNt0Y,Standard,8.5,3.5
6_DOa63qT_w,Standard,6.5,7.5
62VBUkIxWWM,Standard,-1.0,-1.0
EyeDbFnYThA,Standard,2.0,7.5
95n6LyXO6uk,Standard,7.0,3.5
Z826hshUNog,Reaction,8.0,9.0
EgVfcGro33I,Standard,5.0,0.0
7CkHOgMFq8A,Reaction,-1.0,9.0
M0Uw8iIpm6k,Standard,-1.0,-1.0
LVhFeiFx-Kw,Reaction,8.5,7.5
HJcbOyotbcY,Standard,6.0,7.0
vDD6knmfNg0,Standard,7.5,8.0
P6GORlGE2bE,Standard,-1.0,-1.0
y7JjFL09yMs,Standard,-1.0,-1.0
71z_wiYGexo,Standard,6.5,9.0
ZmrpYaZv7Uw,Standard,7.5,7.0
csGEnqUy3so,Standard,-1.0,-1.0
5vQhZWLT7N4,Standard,-1.0,-1.0
l059K9-5PaM,Standard,-1.0,-1.0
R2NuFpoqook,Standard,-1.0,5.0
v2fm_3hilsA,Standard,7.5,8.5
ugLbwEFfphU,Standard,-1.0,-1.0
f3UgDRRU9jA,Standard,8.5,9.5
wiJHc_KETUA,Standard,-1.0,-1.0
42oLuyRzdVc,Standard,7.0,8.0
u7w4X7O2Zjw,Standard,6.5,7.5
ZntkNL9jteQ,Standard,-1.0,-1.0
kjlDXwjQOnc,Standard,7.5,7.0
j9jlHas0q74,Standard,7.5,6.5
bjrsoagUOSw,Standard,-1.0,5.0
1L0ExxfN_TI,Standard,-1.0,-1.0
IaeguPdyBjk,Standard,-1.0,-1.0
SxHLSvDLwnw,Standard,8.5,9.0
jAAl0Xbqj10,Reaction,9.5,9.5
wxgVV_eapcQ,Standard,-1.0,-1.0
AUI0lG9b6D0,Reaction,9.0,9.0
TcCuxZ1uiSE,Standard,-1.0,-1.0
P-qBbWrRk-8,Reaction,9.0,9.0
q5AiaIQmVTo,Standard,-1.0,-1.0
_E-WIjkL-9w,Reaction,7.5,9.0
AvS40ixmULY,Reaction,-1.0,-1.0
bNVrYJ5QyqU,Standard,-1.0,-1.0
ACN8EPmg8r0,Standard,8.5,9.5
AGdiN-_he8w,Standard,7.5,8.5
yZxPty7QBus,Standard,8.5,9.0
jL83AInhZrU,Reaction,5.0,8.0
BunGYwSHqNY,Standard,8.5,9.0
q42o0vMjF1w,Standard,5.0,0.0
m3KW5ZFC74k,Reaction,8.5,9.5
SheGDjl1WU4,Reaction,7.0,7.5
nf5_PSC233o,Standard,-1.0,-1.0
KvvqxTS3h3o,Reaction,7.5,8.0
NCDd4MzZsSw,Standard,-1.0,-1.0
Zcg72jhS3N4,Standard,8.0,9.0
qfm_v0mN6Pg,Reaction,9.0,9.5
646643Dcxq4,Standard,5.0,9.0
khP8-YttZDg,Reaction,7.5,7.5
PpUakKy0K_k,Standard,-1.0,-1.0
yZZWM7VuVFU,Standard,4.5,0.0
Hb8IqltwlGA,Reaction,6.0,1.0
wiqdWGEYfmI,Standard,7.5,8.5
hUbLQ1r7BjE,Standard,-1.0,-1.0
wYN4st1MXrg,Standard,3.5,7.0
p7E37Y6gsm0,Standard,8.5,9.0
AsMhw5Cbocs,Standard,8.5,9.0
TWUoOIuC3YE,Standard,-1.0,5.0
QWLd8duH_Wc,Standard,-1.0,-1.0
ADWKmVWynDw,Reaction,7.5,6.5
s3jpEmjHtjw,Reaction,8.5,9.5
RsUv1nDn2Hs,Standard,-1.0,-1.0
0f81GE5s-8U,Standard,6.0,0.0
FFmIuBEUUcU,Standard,5.0,9.0
4zSqRDOx1b8,Standard,7.5,7.5
0KXz8K6aHt4,Standard,7.5,8.5
kON8GNb3c5o,Standard,7.0,6.5
etfnMLJtR24,Reaction,8.5,9.0
vldfNHJo3d8,Standard,-1.0,-1.0
FDQavu-91dA,Standard,8.0,8.5
F-SL3g6QmkY,Standard,7.5,8.5
iHwg5liqiUc,Standard,-1.0,-1.0
zhbEiUq_URk,Standard,7.5,8.5
GnP0xzl8Oqo,Standard,8.5,9.0
f--4T0RW180,Standard,-1.0,-1.0
ornp1GwQe8c,Standard,5.0,0.0
L5_YoRkZPkk,Standard,8.5,9.5
JqyEcfdPEyg,Standard,7.0,6.5
NdyZ60v4jx0,Reaction,7.5,7.5
_g6mD2MXGko,Standard,-1.0,-1.0
INwPqTd8PJI,Reaction,8.0,9.0
P_fvPRd2kfM,Reaction,7.5,9.0
NS6Ek4if83c,Reaction,8.5,7.5
BoDWH_Jj3uA,Standard,9.0,9.5
zfzxsOJ0rWk,Reaction,7.5,9.0
OJ-CtrzA6oI,Standard,7.0,6.0
QuBADgTKqIo,Standard,7.5,4.5
bN1UhwsaTfQ,Reaction,-1.0,-1.0
FiuyS22tIL4,Standard,-1.0,-1.0
963BU_xkucE,Reaction,8.5,9.5
bjnuDz_bsm0,Standard,7.5,9.0
