title,confidence_score,politics_classification,video_id,channel_id,published_at,time_delta,selection
US-Politiker von Probealarm überrascht: »Bist du fertig? Nein!« | DER SPIEGEL,0.9932156205177308,1,uy9dElLoTnM,UC1w6pNGiiLdZgyNpXUnA4Zw,2023-10-06 15:30:14+00:00,-1,1
"Kampf gegen Putins Invasionsarmee: Was, wenn die westliche Hilfe ausbleibt?  | DER SPIEGEL",0.913945734500885,1,8vLusUl-jqw,UC1w6pNGiiLdZgyNpXUnA4Zw,2023-10-06 13:45:00+00:00,-1,1
Ukraine: Gibt es eine Strategie für Frieden? Wolfgang Ischinger und Egon Ramms im SPIEGEL-Talk,0.8746137022972107,1,EK9mYwQrFSU,UC1w6pNGiiLdZgyNpXUnA4Zw,2023-10-05 17:15:08+00:00,-1,1
Migranten an der Grenze USA-Mexiko: »Man kann das alles übers Internet buchen« | DER SPIEGEL,0.4472188651561737,0,qv7t1Lp_6NI,UC1w6pNGiiLdZgyNpXUnA4Zw,2023-10-05 05:30:20+00:00,-1,1
Kevin McCarthy abgewählt: Putsch in den Stillstand | DER SPIEGEL,0.9752018451690674,1,H8vnf1bW49M,UC1w6pNGiiLdZgyNpXUnA4Zw,2023-10-04 15:30:03+00:00,-1,1
Illegale Migration in Bayern: So läuft die Jagd auf Schleuser | DER SPIEGEL,0.581303060054779,1,IQKFQLTgL3Y,UC1w6pNGiiLdZgyNpXUnA4Zw,2023-10-04 10:30:11+00:00,-1,1
Der Absturz-Minister: Urteil gegen Günther Krause | SPIEGEL TV,0.9938310384750366,1,j6gbvvc04EY,UC1w6pNGiiLdZgyNpXUnA4Zw,2023-10-04 06:00:25+00:00,-1,1
"Touristen-Selfies in US-Nationalparks: Was tun, wenn man einen Bison oder Bären trifft?",0.0131086334586143,0,s_bhrW70EoQ,UC1w6pNGiiLdZgyNpXUnA4Zw,2023-10-03 12:30:26+00:00,-1,1
Söder kocht Gulasch und Aiwanger macht Stimmung | SPIEGEL TV,0.9927108883857728,1,vzep5ctVA_I,UC1w6pNGiiLdZgyNpXUnA4Zw,2023-10-03 06:00:30+00:00,-1,1
Tradingplattform-Gründer vor Gericht: So flog das Kryptoimperium von Sam Bankman-Fried in die Luft,0.010808004066348,0,3zBF4N7w3VY,UC1w6pNGiiLdZgyNpXUnA4Zw,2023-10-02 19:00:00+00:00,-1,1
"Rolling Stones - Exklusivinterview: »Es ist, als hätte ich mir meinen Job erträumt« | DER SPIEGEL",0.5679365992546082,1,0tFPO41y08U,UC1w6pNGiiLdZgyNpXUnA4Zw,2023-10-02 15:30:00+00:00,-1,1
Flüchtlingsunterkunft auf Schulgelände: »Eltern sind vielleicht nicht happy darüber« | DER SPIEGEL,0.0770302340388298,0,UXZjjKqOBF0,UC1w6pNGiiLdZgyNpXUnA4Zw,2023-10-02 13:30:21+00:00,-1,1
»The Sphere« in Las Vegas: »Jedem fiel die Kinnlade herunter« | DER SPIEGEL,0.5851011276245117,1,ckLS9twBtvI,UC1w6pNGiiLdZgyNpXUnA4Zw,2023-10-02 11:00:26+00:00,-1,1
Türkische Regierung spricht von »Terror«: Anschlag im Herzen der Hauptstadt | DER SPIEGEL,0.7322090268135071,1,B4A3Cf0Ejvk,UC1w6pNGiiLdZgyNpXUnA4Zw,2023-10-02 08:45:00+00:00,-1,1
TikTok-Trend Lachgas: Wie gefährlich ist die Partydroge aus dem Luftballon? | DER SPIEGEL,0.0152916433289647,0,lB5vlDOn3qo,UC1w6pNGiiLdZgyNpXUnA4Zw,2023-10-02 06:00:16+00:00,-1,1
Einsatz gegen Fahrradklau: Wohin verschwinden unsere Räder? (SPIEGEL TV für ARTE Re:),0.2535836696624756,0,Rt0tarS6LXA,UC1w6pNGiiLdZgyNpXUnA4Zw,2023-10-01 06:00:13+00:00,-1,1
