video_id,title,channel_title,channel_id,published_at,duration,view_count,like_count,comment_count,month,is_short,ideology_group,populism_group,subscribers,views_per_subscriber,has_keyword,log_views_per_subscriber
3yHUUden3SI,Der barbarische Angriff auf Israel,Peter Weber,UC1qFtRUgiodtHFWRs3RY1lg,2023-11-23 18:00:03,0 days 00:16:19,744.0,119.0,,2023-11,False,right,high,116000.0,0.006413793103448276,True,0.0063933122590799805
BIae_hfit0w,Krieg in Israel und die deutsche Scheinheiligkeit - Jubel über ermordete Israelis in Berlin,Peter Weber,UC1qFtRUgiodtHFWRs3RY1lg,2023-11-04 07:00:03,0 days 00:16:13,1591.0,255.0,,2023-11,False,right,high,116000.0,0.01371551724137931,True,0.013622310817300276
Lgy4D5PY-Uc,Talk im Hangar-7 – Krieg in Israel: Zerreißprobe für unsere Werte? #shorts,ServusTV On,UC-7qscJH_SncZvCm9Ty014Q,2023-11-03 17:14:03,0 days 00:00:22,7908.0,117.0,2.0,2023-11,True,right,moderate,389000.0,0.02032904884318766,True,0.020125172178072116
TOz9XqqKibo,Talk im Hangar-7: Krieg in Israel - Zerreißprobe für unsere Werte? | Kurzfassung,ServusTV On,UC-7qscJH_SncZvCm9Ty014Q,2023-11-03 14:30:22,0 days 00:21:10,57781.0,649.0,501.0,2023-11,False,right,moderate,389000.0,0.14853727506426737,True,0.13848919805288554
MoPYqgyxGg4,Talk im Hangar-7: Israel im Krieg – Versinkt die Welt im Terror? | Kurzfassung,ServusTV On,UC-7qscJH_SncZvCm9Ty014Q,2023-10-13 12:30:04,0 days 00:18:33,315267.0,4008.0,2782.0,2023-10,False,right,moderate,389000.0,0.8104550128534704,True,0.5935782020018205
fWhUMNej9no,ZDF löscht heikle Szene aus BAERBOCK Israel Interview!!,Oli redet,UCXpvI8jeu166he5e_Emo2ig,2023-10-12 21:50:01,0 days 00:08:23,21672.0,2430.0,355.0,2023-10,False,right,moderate,141000.0,0.15370212765957447,True,0.14297601315463693
rDq5lRFWws4,Straffällige Islamisten konsequent abschieben! #gaza #islam #hamas #deutschland,AfD-Fraktion Bundestag,UC_dZp8bZipnjntBGLVHm6rw,2023-11-07 10:19:12,0 days 00:00:48,14089.0,2835.0,186.0,2023-11,True,right,high,621000.0,0.022687600644122383,True,0.02243406461838586
w2Lvyi5Nr8c,Keine Unterstützung für palästinische Terrororganisationen! Gerold Otten- AfD-Fraktion im Bundestag,AfD-Fraktion Bundestag,UC_dZp8bZipnjntBGLVHm6rw,2023-10-21 07:00:32,0 days 00:04:22,9435.0,1642.0,93.0,2023-10,False,right,high,621000.0,0.015193236714975845,True,0.015078975373564067
AIOZVoEkh_c,Hamas auf unseren Straßen: Dieser Islam gehört nicht zu 🇩🇪! Jürgen Braun- AfD-Fraktion im Bundestag,AfD-Fraktion Bundestag,UC_dZp8bZipnjntBGLVHm6rw,2023-10-12 12:00:13,0 days 00:03:41,54039.0,5408.0,506.0,2023-10,False,right,high,621000.0,0.08701932367149759,True,0.08343938504775733
fuiDd7yPkMM,Hamas-Terror: Matthias Moosdorf kritisiert die Heuchelei der SPD - AfD-Fraktion im Bundestag,AfD-Fraktion Bundestag,UC_dZp8bZipnjntBGLVHm6rw,2023-10-12 10:33:55,0 days 00:03:36,192605.0,12339.0,743.0,2023-10,False,right,high,621000.0,0.31015297906602257,True,0.27014390830804486
