video_id,title,channel_id,channel_title,published_at,time_delta,israel_regierung,palaestinenser_zivil,hamas,westliche_staaten,ideology_channel_mean,populism_channel_mean,ideology_group,populism_group,month
7To2LBWuJeA,"Herr Matissek, sind Sie zu israelfreundlich?",UC1qFtRUgiodtHFWRs3RY1lg,Peter Weber,2025-08-04 14:55:00+00:00,21,1.0,-1.0,-1.0,-0.5,8.1,8.753448275862068,Rechts,Hoch,2025-08
bXDd3Ts5QU4,Israel und das prophetische Wort - Eine andere Betrachtung zum Konflikt im Nahen Osten,UC1qFtRUgiodtHFWRs3RY1lg,Peter Weber,2025-07-15 03:00:48+00:00,21,0.5,,,-0.5,8.1,8.753448275862068,Rechts,Hoch,2025-07
IpWY2pjdTf8,Klartext zum Thema Israel,UC1qFtRUgiodtHFWRs3RY1lg,Peter Weber,2025-05-21 06:43:54+00:00,19,-1.0,,-0.5,-1.0,8.1,8.753448275862068,Rechts,Hoch,2025-05
3yHUUden3SI,Der barbarische Angriff auf Israel,UC1qFtRUgiodtHFWRs3RY1lg,Peter Weber,2023-11-23 18:00:03+00:00,1,1.0,-1.0,-1.0,,8.1,8.753448275862068,Rechts,Hoch,2023-11
BIae_hfit0w,Krieg in Israel und die deutsche Scheinheiligkeit - Jubel über ermordete Israelis in Berlin,UC1qFtRUgiodtHFWRs3RY1lg,Peter Weber,2023-11-04 07:00:03+00:00,0,1.0,-1.0,-1.0,-1.0,8.1,8.753448275862068,Rechts,Hoch,2023-11
qe_e2ihgQos,Frieden in Israel und Gaza? Jubel für US-Präsident Donald Trump | Blickwechsel,UC-7qscJH_SncZvCm9Ty014Q,ServusTV On,2025-10-12 18:00:48+00:00,24,-0.5,,-1.0,0.5,6.236842105263158,5.947368421052632,Rechts,Mittel,2025-10
ni7KhNYql5o,"Gaza, Geiseln, Grauen: Frieden mit Terroristen? | Talk im Hangar-7",UC-7qscJH_SncZvCm9Ty014Q,ServusTV On,2025-10-10 18:00:56+00:00,24,-1.0,-0.5,-1.0,-1.0,6.236842105263158,5.947368421052632,Rechts,Mittel,2025-10
CD5Hg_athgU,Gaza brennt: Was darf Israel? | Talk im Hangar-7,UC-7qscJH_SncZvCm9Ty014Q,ServusTV On,2025-09-19 18:00:12+00:00,23,-1.0,0.5,-1.0,-1.0,6.236842105263158,5.947368421052632,Rechts,Mittel,2025-09
-Y1eZCg2YNg,Eskalation im Nahen Osten: Wie weit geht die Treue zu Israel? | Links. Rechts. Mitte,UC-7qscJH_SncZvCm9Ty014Q,ServusTV On,2025-06-30 18:00:00+00:00,20,-1.0,,-1.0,-0.5,6.236842105263158,5.947368421052632,Rechts,Mittel,2025-06
AN5wA4vJAzA,"Gaza Krieg, Iran-Spannung & Europas Sicherheit: Droht ein Flächenbrand? | Talk im Hangar‑7",UC-7qscJH_SncZvCm9Ty014Q,ServusTV On,2025-06-27 18:00:10+00:00,20,-1.0,0.5,-1.0,-0.5,6.236842105263158,5.947368421052632,Rechts,Mittel,2025-06
P9APUvHsSFk,"Doppelte Eskalation: Nahost brennt, Ukraine-Besuch spaltet | Links. Rechts. Mitte",UC-7qscJH_SncZvCm9Ty014Q,ServusTV On,2025-06-23 18:00:18+00:00,20,0.5,,,-1.0,6.236842105263158,5.947368421052632,Rechts,Mittel,2025-06
EPLK9RiAet4,Krieg um die Wahrheit: Was die Bilder aus Gaza verschweigen | BLICKWECHSEL,UC-7qscJH_SncZvCm9Ty014Q,ServusTV On,2025-06-09 18:00:25+00:00,20,-0.5,,-1.0,-0.5,6.236842105263158,5.947368421052632,Rechts,Mittel,2025-06
zmQHMd2oLrc,Israel im Kreuzfeuer: Gegenwehr oder Genozid? | Links. Rechts. Mitte,UC-7qscJH_SncZvCm9Ty014Q,ServusTV On,2025-05-26 18:00:53+00:00,19,-0.5,,-1.0,-0.5,6.236842105263158,5.947368421052632,Rechts,Mittel,2025-05
sa8yL05hRDE,Gaza-Krieg: Geht Israel zu weit? | Talk im Hangar-7,UC-7qscJH_SncZvCm9Ty014Q,ServusTV On,2025-05-23 18:00:51+00:00,19,-1.0,,0.5,-1.0,6.236842105263158,5.947368421052632,Rechts,Mittel,2025-05
Fc_vwR7yLiQ,1 Jahr nach dem Hamas-Angriff: Antisemitismus wird sichtbarer | BLICKWECHSEL. Das Nachrichtenmagazin,UC-7qscJH_SncZvCm9Ty014Q,ServusTV On,2024-10-13 18:00:08+00:00,12,,,-1.0,-0.5,6.236842105263158,5.947368421052632,Rechts,Mittel,2024-10
k1xvOQMf6Mk,Ein Jahr nach dem Hamas-Blutbad: Nie wieder Frieden? | Talk im Hangar-7,UC-7qscJH_SncZvCm9Ty014Q,ServusTV On,2024-10-11 18:00:26+00:00,12,-1.0,,-1.0,-0.5,6.236842105263158,5.947368421052632,Rechts,Mittel,2024-10
